"Pimelodus_albicans"	"Pseudoplatystoma_corruscans"	"Gymnotus_carapo"	"Colossoma_mitrei"	"Pterodoras_granulosus"	"Salminus_brasiliensis"	"Serrasalmus_spilopleura"	"Luciopimelodus_pati"	"Pseudoplatystoma_fasciatum"	"Aequidens_portalegrensis"	"Hoplias_malabaricus"	"Leporinus_obtusidens"	"Potamotrygon_motoro"	"Ageneiosus_inermis"	"Auchenipterus_nigripinnis"	"Paulicea_luetkeni"	"Pimelodus_clarias"	"Prochilodus_lineatus"	"Ageneiosus_brevifilis"	"Ageneiosus_militaris"	"Auchenipterus_nuchalis"	"Jenynsia_lineata"	"Sorubim_lima"	"Triportheus_paranensis"	"Zungaro_zungaro"	"Acestrorhynchus_pantaneiro"	"Apareiodon_affinis"	"Astyanax_bimaculatus"	"Brycon_orbygnianus"	"Cheirodon_piaba"	"Ephyppicharax_orbicularis_paraguayensis"	"Holoshestes_pequira"	"Hoplosternum_littorale"	"Hyphessobrycon_callistus"	"Lepidosiren_paradoxa"	"Leporinus_maculatus"	"Leporinus_sp."	"Metynnis_maculatus"	"Oligosarcus_jenynsii"	"Oxydoras_kneri"	"Pimelodella_gracilis"	"Pimelodella_howesi"	"Pimelodus_argenteus"	"Pimelodus_clarias_maculatus"	"Pimelodus_maculatus"	"Pimelodus_ornatus"	"Potamotrygon_falkneri"	"Potamotrygon_s_Province"	"Pseudopimelodus_zungaro"	"Salminus_maxillosus"	"Serrasalmus_marginatus"	"Serrasalmus_nattereri"	"Serrasalmus_sp."	"Thoracocharax_stellatus"	"Genarchella_genarchella"	"Genarchella_parva"	"Procamallanus_(Spirocamallanus)_inopinatus"	"Cucullanus_pinnai"	"Therodamas_fluviatilis"	"Dolops_longicauda"	"Crepidostomum_macrorchis"	"Genarchella_szidati"	"Argulus_nattereri"	"Argulus_salminei"	"Henneguya_sp."	"Ageneiella_brevifilis"	"Gibsoniela_meursaulti"	"Monticellia_magna"	"Dadaytrema_oxycephala"	"Travassosinia_dilatata"	"Rondonia_rondoni"	"Spectatus_spectatus"	"Lernaea_argentinensis"	"Myxobolus_paranensis"	"Amphocleithrum_paraguayensis"	"Demidospermus_armostus"	"Demidospermus_bidiverticulatum"	"Demidospermus_idolus"	"Demidospermus_majusculus"	"Demidospermus_sp"	"Unibarra_paranoplatensis"	"Vancleaveus_janauacaensis"	"Scleroductus_yuncensi"	"Monogenea_n.n."	"Jauella_glandicephala"	"Luciaella_ivanovae"	"Monticellia_belavistensis"	"Monticellia_ventrei"	"Spatulifer_maringaensis"	"Spatulifer_rugosa"	"Travassiella_avitellina"	"Peltidocotyle_rugosa"	"Rudolphiella_szidati"	"Nomimoscolex_chubbi"	"Nomimoscolex_dechambrieri"	"Nomimoscolex_guillermoi"	"Nomimoscolex_lopesi"	"Acanthobothrium_ramiroi"	"Rhinebothrium_paranaensis"	"Rhinebothroides_campbelli"	"Rhinebothroides_mclennanae"	"Paroncomegas_araya"	"Creptotrema_creptotrema"	"Creptotrematina_dispar"	"Creptotrematina_dissimilis"	"Curumai_curumai"	"Prosorhynchoides_cambapuntaensis"	"Rhipidocotyle_santanaensis"	"Diplostomulum_gymnoti"	"Neodiplostomulum_gymnoti"	"Sphinclerodiplostomum_musculosum"	"Kalipharynx_piramboae"	"Chalcinotrema_salobrensis"	"Saccocoelioides_elongatus"	"Saccocoelioides_szidati"	"Herpetodiplostomulum_gymnoti"	"Cystodiplostomulum_gymnoti"	"Tetracotyloides_gymnoti"	"Tylodelphylus_jenynsiae"	"Tylodelphylus_sp."	"Digenea_n.n."	"Eustrongylides_sp."	"Contracaecum_sp."	"Goezia_spinulosa"	"Klossinemella_iheringi"	"Cucullanus_paulicea"	"Procamallanus_(Spirocamallanus)_rarus"	"Spinitectus_asperus"	"Paracavisoma_impudica"	"Echinorhynchus_jucundus"	"Gracilisentis_variabilis"	"Mizobdella_platensis"	"Mollusca_n.n."	"Taurocherus_tarangophilus"	"Ergasilidae_n.n."	"Argulus_paranensis"	"Argulus_pestifer"	"Argulus_cf._violaceus"	"Dipteropeltis_hirundo"	"Dolops_cf._bidentata"	"Dolops_cf._Carvalhoi"	"Dolops_striata"	"Braga_fluviatilis"	"Isonebula_maculatus"	"Paracymothoa_oliverosae"	"Paracymothoa_parva"	"Isopoda_n.n."
"Pimelodus_albicans"	1.20700523511575	0.0247348728097606	0	0	0	0.0140373314191326	0.000232771903931806	0.0142521086150575	0.0135151806447431	0	0	0.00315026668497614	0	0	0.00649423389567094	0.00308830936694638	0.0128815406869039	0	0.00304418779822858	0	0.00392064275654895	0.000211087690513272	0.00294124701613941	0.000211087690513272	0	0	0	0	0.000182892210232133	0	0.000182892210232133	0	0	0	0	0.000182892210232133	0	0	0.00257359113912199	0	0.00345004609744235	0.00345004609744235	0	0	0	0.00345004609744235	0	0.000448756696553955	0.0093262820593505	0	0.000182892210232133	0.000182892210232133	0	0	0.0617661873389277	0.0621008297539624	0.00329205978417839	0.0548632276027165	0	0.00359005357243164	0.00282357995463954	0.00110821037519468	0.0526548934907063	0.055957692356103	0	0	0	0	0	0	0	0	0.00236300869421662	0	0.00123674364048803	0.0502918847964898	0.0502918847964897	0.0502918847964897	0.0502918847964897	0.0502918847964897	0	0	0.0502918847964897	0	0	0	0	0.00118767571792146	0.000735311754034854	0.00112626505372859	0.000514718227824397	0	0.00118767571792146	0	0	0	0.00112626505372859	0	0	0	0	0	0.000393783335622017	5.27719226283181e-05	0	0	0.00100266652993804	0	0	0	0	0	0	0	0.000393783335622018	0	0	0	5.27719226283181e-05	0	0	1.66265645665576e-05	1.66265645665575e-05	0.00123674364048803	0	0.000514718227824398	0.0502918847964897	0	0	0	0	0	0	0	0	0.00100266652993804	0.00123674364048803	1.66265645665575e-05	0.00100266652993804	1.66265645665575e-05	1.66265645665575e-05	0	1.66265645665575e-05	0	0	0	0
"Pseudoplatystoma_corruscans"	0.0296818473717127	1.13731426139083	0	0	0	0.0131523282240197	0.00491771276922065	0.0202749723250951	0.0397696165393304	0	0	0.00787325544573758	0	0	0.00748301984215056	0.00363021760704498	0.0147214741221877	0	0.00356742915385275	0	0.0044578385029464	0.00019777937178977	0.0034573501019476	0.00019777937178977	0	0	0	0	0.00386391717581623	0	0.00386391717581623	0	0	0	0	0.00386391717581623	0	0	0.00302518133920415	0	0.00391559068829781	0.00391559068829781	0	0	0	0.00391559068829781	0	0.00814923997295385	0.000395671937543534	0	0.00386391717581623	0.00386391717581623	0	0	0.0726043521408997	0.0704806323893606	0.069550509164692	0.0622456167574854	0	0.0651939197836308	0.00325348688789154	0.00103834170189629	0.0614165914216405	0.0023740316252612	0	0	0	0	0	0	0	0	0.0601798477811525	0	0.0568657130695416	0.00123674364048803	0.00123674364048803	0.00123674364048803	0.00123674364048803	0.00123674364048803	0	0	0.00123674364048803	0	0	0	0	0.00168958102709126	0.000864337525486902	0.00331413471161087	0.000605036267840831	0	0.00168958102709126	0	0	0	0.00331413471161087	0	0	0	0	0	0.000984156930717198	4.94448429474425e-05	0	0	0.000939452016001406	0	0	0	0	0	0	0	0.000984156930717198	0	0	0	4.94448429474424e-05	0	0	0.000351265197801475	0.000351265197801475	0.0568657130695416	0	0.000605036267840831	0.00123674364048803	0	0	0	0	0	0	0	0	0.000939452016001406	0.0568657130695416	0.000351265197801475	0.000939452016001406	0.000351265197801475	0.000351265197801475	0	0.000351265197801475	0	0	0	0
"Gymnotus_carapo"	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333334	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333334	0	0	0	0	0	0.0833333333333333	0.0833333333333334	0.0833333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colossoma_mitrei"	0	0	0	1.22666666666667	0.106666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952380952380953	0.0952380952380952	0.0952380952380952	0.0952380952380953	0	0	0	0	0	0	0	0	0	0.00761904761904762	0	0	0	0	0.00761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0876190476190476	0	0	0	0	0	0	0.0876190476190476	0	0	0	0	0	0	0	0	0	0	0	0.00761904761904762	0	0	0	0	0.0876190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pterodoras_granulosus"	0	0	0	0.106666666666667	1.22666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952380952380953	0.0952380952380952	0.0952380952380952	0.0952380952380953	0	0	0	0	0	0	0	0	0	0.0876190476190476	0	0	0	0	0.0876190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00761904761904762	0	0	0	0	0	0	0.00761904761904762	0	0	0	0	0	0	0	0	0	0	0	0.0876190476190476	0	0	0	0	0.00761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Salminus_brasiliensis"	0.0240639967185131	0.0187890403200281	0	0	0	1.17179833109119	0.000160941647146882	0.00513292997447834	0.0181283494545461	0	0	0.00465077866503926	0	0	0.00451422643448237	0.00473157261669559	0.00457873165860878	0	0.00427009503815085	0	0.000571249253902713	0.0176210275352059	0.00450625963494818	0.0176210275352059	0	0	0	0	0.000126454151329693	0	0.000126454151329693	0	0	0	0	0.000126454151329693	0	0	0.00394297718057966	0	0.000244131396331526	0.000244131396331526	0	0	0	0.000244131396331526	0	0.0114866704794811	0.0154004631494848	0	0.000126454151329693	0.000126454151329693	0	0	0.0946314523339118	0.00439436513396747	0.00227617472393447	0.00313298465358077	0	0.0918933638358489	0.00196270714542712	0.0925103945598309	0.00345281433381829	0.0924027788969085	0	0	0	0	0	0	0	0	0.00245014780388024	0	0.000939452016001407	0.00100266652993805	0.00100266652993804	0.00100266652993804	0.00100266652993804	0.00100266652993804	0	0	0.00100266652993804	0	0	0	0	0.000427744164539862	0.00112656490873705	0.00151069578787884	0.000788595436115932	0	0.000427744164539862	0	0	0	0.00151069578787884	0	0	0	0	0	0.000581347333129908	0.00440525688380148	0	0	0.083699880792228	0	0	0	0	0	0	0	0.000581347333129908	0	0	0	0.00440525688380147	0	0	1.1495831939063e-05	1.1495831939063e-05	0.000939452016001407	0	0.000788595436115932	0.00100266652993804	0	0	0	0	0	0	0	0	0.083699880792228	0.000939452016001406	1.1495831939063e-05	0.083699880792228	1.1495831939063e-05	1.1495831939063e-05	0	1.1495831939063e-05	0	0	0	0
"Serrasalmus_spilopleura"	0.000399037549597381	0.0070253039560295	0	0	0	0.000160941647146882	1.28038418555471	0.00685752468318934	0.000323828420217117	0	0	0.00697216759441628	0	0	0.000158350880243603	0.000101401022554352	0.000269918499937943	0	9.59755535955541e-05	0	7.3850028114977e-05	2.42017514506589e-06	9.65724024327158e-05	2.42017514506589e-06	0	0	0	0	0.00601614579298562	0	0.00601614579298562	0	0	0	0	0.00601614579298562	0	0	8.45008521286263e-05	0	6.23753266480493e-05	6.23753266480493e-05	0	0	0	6.23753266480493e-05	0	5.19662308567064e-05	5.11316300102192e-06	0	0.00601614579298562	0.00601614579298562	0	0	0.00202802045108703	0.00112275587966489	0.108290624273741	0.000984338569290134	0	0.000415729846853651	6.88482088015667e-05	1.27059195115959e-05	0.000394877464052792	3.06789780061315e-05	0	0	0	0	0	0	0	0	0.000378250899486235	0	0.000351265197801475	1.66265645665576e-05	1.66265645665575e-05	1.66265645665575e-05	1.66265645665575e-05	1.66265645665575e-05	0	0	1.66265645665576e-05	0	0	0	0	0.000571460390265779	2.4143100608179e-05	2.69857016847597e-05	1.69001704257253e-05	0	0.000571460390265778	0	0	0	2.69857016847597e-05	0	0	0	0	0	0.000871520949302036	6.05043786266473e-07	0	0	1.1495831939063e-05	0	0	0	0	0	0	0	0.000871520949302036	0	0	0	6.05043786266472e-07	0	0	0.0914560132539078	0.0914560132539078	0.000351265197801475	0	1.69001704257253e-05	1.66265645665575e-05	0	0	0	0	0	0	0	0	1.1495831939063e-05	0.000351265197801475	0.0914560132539078	1.1495831939063e-05	0.0914560132539078	0.0914560132539078	0	0.0914560132539078	0	0	0	0
"Luciopimelodus_pati"	0.028504217230115	0.0337916205418252	0	0	0	0.00598841830355806	0.00800044546372089	1.12338286027673	0.00666281471332091	0	0	0.0124617341325121	0	0	0.0117847651086309	0.00554154368762945	0.0234815576274118	0	0.00547192155915722	0	0.00716681203560634	9.00514030610234e-05	0.00527766065488519	9.00514030610234e-05	0	0	0	0	0.00628606429292356	0	0.00628606429292356	0	0	0	0	0.00628606429292356	0	0	0.00461795307302454	0	0.00631284354947367	0.00631284354947367	0	0	0	0.00631284354947367	0	0.000356341300143271	0.000293712705902058	0	0.00628606429292356	0.00628606429292356	0	0	0.110830873752589	0.113631183890526	0.113149157272624	0.100406088039309	0	0.00285073040114617	0.00512381091679604	0.000472769866070373	0.00343249130445613	0.00176227623541235	0	0	0	0	0	0	0	0	0.00224481558653467	0	0.00168958102709126	0.00118767571792146	0.00118767571792146	0.00118767571792146	0.00118767571792146	0.00118767571792146	0	0	0.00118767571792146	0	0	0	0	0.0936152383563942	0.0013194151637213	0.00055523455944341	0.000923590614604908	0	0.0936152383563942	0	0	0	0.00055523455944341	0	0	0	0	0	0.00155771676656402	2.25128507652559e-05	0	0	0.000427744164539861	0	0	0	0	0	0	0	0.00155771676656402	0	0	0	2.25128507652558e-05	0	0	0.000571460390265778	0.000571460390265778	0.00168958102709126	0	0.000923590614604909	0.00118767571792146	0	0	0	0	0	0	0	0	0.000427744164539861	0.00168958102709126	0.000571460390265778	0.000427744164539861	0.000571460390265778	0.000571460390265778	0	0.000571460390265778	0	0	0	0
"Pseudoplatystoma_fasciatum"	0.0270303612894861	0.0662826942322173	0	0	0	0.0211497410303037	0.000377799823586636	0.00666281471332091	1.1561891121207	0	0	0.00563765731609997	0	0	0.00546094690506647	0.00556332891966613	0.00581073743534515	0	0.00503182822327732	0	0.000824839472011358	0.000318041218500808	0.00529840849492013	0.000318041218500808	0	0	0	0	0.000296842718532357	0	0.000296842718532357	0	0	0	0	0.000296842718532357	0	0	0.00463610743305511	0	0.00042911868178915	0.00042911868178915	0	0	0	0.00042911868178915	0	0.0134898564234953	0.000479447425746805	0	0.000296842718532357	0.000296842718532357	0	0	0.111266578393323	0.0077241362722047	0.00534316893358242	0.00596409056400705	0	0.107918851387963	0.00237432474133325	0.00166971639712924	0.100789492442065	0.00287668455448083	0	0	0	0	0	0	0	0	0.0996632273883363	0	0.00331413471161087	0.00112626505372859	0.00112626505372859	0.00112626505372859	0.00112626505372859	0.00112626505372859	0	0	0.00112626505372859	0	0	0	0	0.00055523455944341	0.00132460212373003	0.0963490926767254	0.000927221486611023	0	0.00055523455944341	0	0	0	0.0963490926767254	0	0	0	0	0	0.000704707164512496	7.9510304625202e-05	0	0	0.00151069578787884	0	0	0	0	0	0	0	0.000704707164512496	0	0	0	7.95103046252019e-05	0	0	2.69857016847597e-05	2.69857016847597e-05	0.00331413471161087	0	0.000927221486611023	0.00112626505372859	0	0	0	0	0	0	0	0	0.00151069578787884	0.00331413471161086	2.69857016847597e-05	0.00151069578787884	2.69857016847597e-05	2.69857016847597e-05	0	2.69857016847597e-05	0	0	0	0
"Aequidens_portalegrensis"	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0	0.133333333333333	0	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0	0.133333333333333
