"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1	1	1	1	1	1	1	1	1	1	1	0
"R2"	1	1	1	1	1	1	1	1	0	1	1	1
"R3"	1	1	1	1	1	1	1	1	1	1	1	1
"R4"	1	1	1	1	1	1	1	1	0	1	1	1
"R5"	1	1	1	1	1	1	1	1	1	1	1	1
"R6"	1	1	1	1	1	1	1	1	1	1	1	0
"R7"	1	1	1	1	1	1	1	1	0	1	1	0
"R8"	1	1	1	1	1	1	1	0	1	1	1	0
"R9"	1	1	1	1	1	1	1	1	1	1	1	0
"R10"	1	1	1	1	1	1	1	1	0	1	1	0
"R11"	1	1	1	1	1	1	1	1	0	1	1	0
"R12"	1	1	1	1	1	1	1	1	1	1	0	0
"R13"	1	1	1	1	1	1	1	1	1	1	1	1
"R14"	1	1	1	1	1	1	1	1	1	1	1	0
"R15"	1	1	1	1	1	1	1	1	1	1	1	1
"R16"	1	1	1	1	1	1	1	1	1	1	1	0
"R17"	1	1	1	1	1	1	1	1	1	1	1	1
"R18"	1	1	1	1	1	1	1	1	1	1	1	0
"R19"	1	1	1	1	1	1	1	1	1	1	1	1
"R20"	1	1	1	1	1	1	1	1	1	1	1	1
"R21"	1	1	1	1	1	1	1	1	1	1	1	1
"R22"	1	1	1	1	1	1	1	1	1	1	1	0
"R23"	1	1	1	1	1	1	1	1	1	1	1	1
"R24"	1	1	1	1	1	1	1	1	1	1	1	1
"R25"	1	1	1	1	1	1	1	1	1	1	1	0
"R26"	1	1	1	1	1	1	1	1	1	1	1	0
"R27"	1	1	1	1	1	1	1	1	1	1	1	0
"R28"	1	1	1	1	1	1	1	1	0	1	1	0
"R29"	1	1	1	1	1	1	1	1	1	1	1	0
"R30"	1	1	1	1	1	1	1	1	1	1	1	0
"R31"	1	1	1	1	1	1	1	1	1	1	1	1
