"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Calamagrostis_epigejos"	"Calamagrostis_canescens"	"Elymus_repens"	"Agrostis_capillaris"	"Corynephorus_canescens"	"Holcus_lanatus"	"Phragmites_australis"	"Tetramesa_fulvicollis"	"Tetramesa_sp._4"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Eurytoma_sp."	"Tetramesa_eximia"	"Tetramesa_calamagrostidis"	"Tetramesa_sp._2"	"Tetramesa_sp._1"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_sp._3"	"Tetramesa_agrostidis"	"Tetramesa_schmidti"	"Tetramesa_sp."	"Tetramesa_phragmitis"
"Brachypodium_sylvaticum"	5.26315789473684	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylis_glomerata"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalaris_arundinacea"	0	0	2.80163631234131	1.02974828375286	1.43177329864268	0	0	0	0	0	0	0	0	0.840490893702392	0.308924485125858	0.308924485125858	1.57894736842105	1.27002288329519	0.429531989592803	0	0	0	0	0	0	0
"Calamagrostis_epigejos"	0	0	1.02974828375286	3.20366132723112	1.02974828375286	0	0	0	0	0	0	0	0	0.308924485125858	0.961098398169336	0.961098398169336	1.57894736842105	0.617848970251716	0.308924485125858	0	0	0	0	0	0	0
"Calamagrostis_canescens"	0	0	1.43177329864268	1.02974828375286	2.80163631234131	0	0	0	0	0	0	0	0	0.429531989592803	0.308924485125858	0.308924485125858	1.57894736842105	1.27002288329519	0.840490893702392	0	0	0	0	0	0	0
"Elymus_repens"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57894736842105	1.57894736842105	1.57894736842105	0	0	0	0
"Agrostis_capillaris"	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0
"Corynephorus_canescens"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Holcus_lanatus"	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0
"Phragmites_australis"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
"Tetramesa_fulvicollis"	4.73684210526316	0	0	0	0	0	0	0	0	0	3.13157894736842	2.13157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_sp._4"	4.73684210526316	0	0	0	0	0	0	0	0	0	2.13157894736842	3.13157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longula"	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longicornis"	0	0	2.52147268110718	0.926773455377574	1.28859596877841	0	0	0	0	0	0	0	0	1.75644180433215	0.278032036613272	0.278032036613272	1.42105263157895	1.14302059496568	0.386578790633523	0	0	0	0	0	0	0
"Eurytoma_sp."	0	0	0.926773455377574	2.88329519450801	0.926773455377574	0	0	0	0	0	0	0	0	0.278032036613272	1.8649885583524	0.864988558352403	1.42105263157895	0.556064073226544	0.278032036613272	0	0	0	0	0	0	0
