"Pimephlales_promelas"	"Perca_flavescens"	"Morone_chrysops"	"Pomoxis_nigromaculatus"	"Esox_lucius"	"Sander_vitreum"	"Bothriocephalus_sp."	"Proteocephalus_sp."	"Contracaecum_sp."	"Neascus_of_Posthodiplostomum_sp."	"Raphidascaris_sp."	"Myxobolus_sp"	"Unicauda_sp."	"Dactylogyrus_sp."	"Gyrodactylus_hoffmani"	"Gyrodactylus_sp."	"Onchocleidus_chrysops"	"Diplostomum_spathaceum"	"Diplostomulum_sp."	"Neascus_sp."	"Bothriocephalus_cuspidatus"	"Gryporhynchidae"	"Ligula_intestinalis"	"Raphidascaris_acus"	"Rhabdochona_sp."	"Spiroxys_sp."	"Myzobdella_lugubris"
"Pimephlales_promelas"	0	0	0	0	0	0	0.0416666666666667	0.0416666666666667	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0.0416666666666667	0	0	0	0
"Perca_flavescens"	0	0	0	0	0	0	0.0714285714285714	0	0	0	0.0714285714285714	0	0	0	0	0.0714285714285714	0	0	0	0	0	0.0714285714285714	0	0.0714285714285714	0.0714285714285714	0	0.0714285714285714
"Morone_chrysops"	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0
"Pomoxis_nigromaculatus"	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Esox_lucius"	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sander_vitreum"	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
"Bothriocephalus_sp."	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Proteocephalus_sp."	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Contracaecum_sp."	0	0	0.166666666666667	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neascus_of_Posthodiplostomum_sp."	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Raphidascaris_sp."	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myxobolus_sp"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unicauda_sp."	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylogyrus_sp."	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gyrodactylus_hoffmani"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gyrodactylus_sp."	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Onchocleidus_chrysops"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diplostomum_spathaceum"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diplostomulum_sp."	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neascus_sp."	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bothriocephalus_cuspidatus"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gryporhynchidae"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ligula_intestinalis"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Raphidascaris_acus"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhabdochona_sp."	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spiroxys_sp."	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myzobdella_lugubris"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
