"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Unidentified_sp7_M_PL_098"	"Ornidia_obesa"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_098"	"Forcipomyia_sp1_M_PL_098"	"Melanostoma_annulipes"	"Lygistorrhina_sp1_M_PL_098"	"Phelsuma_sp1_M_PL_098"	"Unidentified_sp2_M_PL_098"	"Unidentified_sp3_M_PL_098"	"Unidentified_sp6_M_PL_098"	"Hemipyrellia_sp1_M_PL_098"	"Unidentified_sp4_M_PL_098"	"Unidentified_sp5_M_PL_098"
"Canthium_bibracteatum"	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0.0625	0.0625	0.0625	0.0625	0	0	0.0625	0.0625	0	0.0625	0	0.0625	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0.125	0.125	0.125	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0	0	0	0.0555555555555556	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0.0555555555555556	0.0555555555555556
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.125	0	0.125	0	0.125	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.125	0.125	0.125	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.125	0.125	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.1	0.1	0.1	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp7_M_PL_098"	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_098"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Forcipomyia_sp1_M_PL_098"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanostoma_annulipes"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_098"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_098"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_098"	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_098"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_M_PL_098"	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_098"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_098"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_098"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
