"C._nigrescens"	"H._guatemalensis"	"M._curema"	"D._peruvianus"	"C._trimaculatum"	"L._argentiventris"	"D._latifrons"	"P._sphenops"	"G._maculatus"	"E._picta"	"Cornutushaptor_nigrescens"	"Neotetraonchus_sp."	"Ligophorus_mugilinus"	"Aristocleidus_hastatus"	"Crassicutis_cichlasomae"	"Neoapocreadium_marina"	"Paracryptogonimus_sp."	"Pseudoacanthostomum_panamense"	"Pseudacaenodera_cristata"	"Saccocoelioides_sp."	"Saccocoelioides_sogandaresi"	"Ascocotye_(Phagicola)_longa"	"Centrocestus_formosanus"	"Cladocystis_trifolium"	"Clinostomum_complanatum"	"Diplostomum_(Austrodiplostomum)_compactum"	"Echinochasmus_leopoldinae"	"Haplorchis_sp."	"Metadena_sp."	"Posthodiplostomum_minimum"	"Tylodelphys_sp."	"Parvitaenia_cochlearii"	"Proteocephalus_chamelensis"	"Proteocephalus_sp."	"Contracaecum_sp."	"Hysterothylacium_perezi"	"Gnathostoma_sp."	"Pseudoleptorhynchoides_lamothei"	"Floridosentis_mugilis"	"Neoechinorhynchus_golvani"	"Southwellina_hispida"	"Argulus_sp."	"Ergasilus_sp."
"C._nigrescens"	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0.00909090909090909	0.00909090909090909	0	0	0	0.00909090909090909	0	0	0	0.00909090909090909	0.00909090909090909	0	0	0	0	0	0	0.00909090909090909	0.00909090909090909	0	0	0	0	0.00909090909090909	0.00909090909090909	0	0.00909090909090909
"H._guatemalensis"	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0	0	0.0111111111111111	0	0	0	0	0	0	0.0111111111111111	0	0.0111111111111111	0	0	0	0.0111111111111111	0.0111111111111111
"M._curema"	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0.0125	0	0	0	0.0125	0	0	0.0125	0.0125	0	0	0	0	0	0	0	0	0.0125	0	0	0	0.0125	0	0	0	0.0125
"D._peruvianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0	0	0.0111111111111111	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111
"C._trimaculatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0.00833333333333333	0	0	0	0.00833333333333333	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0	0	0.00833333333333333	0	0	0	0	0.00833333333333333	0	0	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333
"L._argentiventris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0.01	0.01
"D._latifrons"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0.01
"P._sphenops"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01
"G._maculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0.00833333333333333	0	0	0.00833333333333333	0.00833333333333333	0	0	0.00833333333333333	0	0	0.00833333333333333	0	0	0.00833333333333333	0	0.00833333333333333	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333
"E._picta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0	0	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769
