"Allomerus_demararae"	"Pseudomyrmex_dendroicus"	"Pachychondyla_luteola"	"Crematogaster_victima"	"Pheidole_minutula"	"Azteca_sp8_M_PA_001"	"Myrmelachista_sp1_M_PA_001"	"Azteca_sp7_M_PA_001"	"Azteca_sp9_M_PA_001"	"Camponotus_balzani"	"Azteca_sp12_M_PA_001"	"Azteca_sp11_M_PA_001"	"Crematogaster_limata"	"Azteca_sp10_M_PA_001"	"Azteca_sp13_M_PA_001"	"Gnamptogenys_pleurodon"	"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	1.00201816689392	0	0	0	0	0	0	0.00202155877105508	3.39187713264275e-06	0	0	0	0.00201816689392244	3.39187713264275e-06	0.00201816689392244	0.00201816689392244	0.100908344696122	0	0	0	0	0	0	0.000101756313979282
"Pseudomyrmex_dendroicus"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	1.0050505050505	0	0	0	0	0	0	0.00505050505050505	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"Crematogaster_victima"	0	0	0	1.00505050505051	0.00505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0.0505050505050505	0
"Pheidole_minutula"	0	0	0	0.00505050505050505	1.00505050505051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0.0505050505050505	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	1.0050505050505	0	0	0	0	0	0.00505050505050505	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	0	0	1.0050505050505	0	0	0	0.00505050505050505	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0
"Azteca_sp7_M_PA_001"	0.00101077938552754	0	0	0	0	0	0	1.00269315044332	0.0016823710577908	0	0	0	0.00101077938552754	0.0016823710577908	0.00101077938552754	0.00101077938552754	0.0505389692763769	0	0	0	0	0	0	0.0504711317337241
"Azteca_sp9_M_PA_001"	3.39187713264275e-06	0	0	0	0	0	0	0.00336474211558161	1.00336135023845	0	0	0	3.39187713264275e-06	0.00336135023844896	3.39187713264275e-06	3.39187713264275e-06	0.000169593856632137	0	0	0	0	0	0	0.100840507153469
"Camponotus_balzani"	0	0	0.00505050505050505	0	0	0	0	0	0	1.0050505050505	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
