"Salmo_salar"	"Salvelinus_fontinalis"	"Salvelinus_namaycush"	"Coregonus_clupeaformis"	"Esox_lucius"	"Catostomus_catostomus"	"Tetraonchus_monenteron"	"Discocotyle_sagittata"	"Crepidostomum_farionis"	"Crepidostomum_cooperi"	"Phyllodistomum_coregoni"	"Phyllodistomum_lachancei"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Eubothrium_salvelini"	"Diphyllobothrium_sp._(L)"	"Proteocephalus_pinguis"	"Proteocephalus_tumidocollus"	"Proteocephalus_sp.1"	"Proteocephalus_sp.2"	"Raphidascaris_sp."	"Raphidascaris_canadensis"	"Capillaria_salvelini"	"Metabronema_salvelini"	"Metechinorhynchus_lateralis"	"Neoechinorhynchus_crassus"	"Ergasilus_caeruleus"	"Salmincola_extumescens"	"Salmincola_coregonorum"	"Salmincola_edwardsii"	"Salmincola_siscowet"
"Salmo_salar"	1.00335260219382	0.002168856698751	0.00216894919687758	0.00240892016994521	1.68184161586096e-06	0	1.67178614236833e-05	0.0143688222709896	5.18978928121061e-05	0.0143688229825137	1.85301551534247e-05	0.0143669763404275	3.36368323172192e-08	3.52143797447908e-05	0.0143669763404276	0.014385506495581	3.36368323172192e-08	5.18978928121061e-05	5.18978928121062e-05	0.014385506495581	5.18978928121061e-05	3.36368323172192e-08	5.18978928121062e-05	1.66835130673154e-05	1.67171498996326e-05	0	0	0.0143521387579223	1.85301551534247e-05	1.66835130673154e-05	1.6684224591366e-05
"Salvelinus_fontinalis"	0.00116784591471208	1.00438955373525	0.00220520692395918	0.00194812950388248	0.000390274023208439	0	2.47686106484702e-05	0.00775774261490678	0.00775802223202377	4.86322548199436e-05	1.49856115683268e-05	0.00775972013352275	7.80548046416879e-06	3.19487417526282e-05	0.00775972013352276	0.00777470574509108	7.80548046416879e-06	0.00775802223202376	0.00775802223202377	0.00777470574509108	0.00775802223202376	7.80548046416879e-06	0.00775802223202377	0.00772607349027114	0.00773387897073531	0	0	3.16691246356422e-05	1.49856115683268e-05	0.00772607349027114	1.69631301843014e-05
"Salvelinus_namaycush"	0.00116789572139562	0.00220520692395918	1.0040033558658	0.00233442730217804	0.000390124287682132	0	0.00773090522318283	5.16044878693447e-05	0.00775802300070717	0.00775774409511424	1.79571330936772e-05	0.00775675009220486	7.80248575364264e-06	0.00774105987052287	0.00775675009220487	0.00777470722529854	7.80248575364264e-06	0.00775802300070717	0.00775802300070717	0.00777470722529854	0.00775802300070717	7.80248575364264e-06	0.00775802300070717	1.69631301843014e-05	2.4765615937944e-05	0	0	3.46413576850433e-05	1.79571330936772e-05	1.69631301843014e-05	0.00772310273742919
"Coregonus_clupeaformis"	0.00129711086073973	0.00194812950388249	0.00233442730217804	1.00451968201361	1.66042059788327e-06	0	1.79903415056349e-05	0.00776059024374954	0.00776001722168979	0.00776356176527489	0.00772707447702778	5.14728998154287e-05	3.32084119576654e-08	0.00774503161012146	5.14728998154288e-05	0.00777854737684321	3.32084119576654e-08	0.00776001722168979	0.00776001722168979	0.00777854737684321	0.00776001722168979	3.32084119576654e-08	0.00776001722168979	1.49856115683268e-05	1.50188199802845e-05	0	0	0.00774560463218121	0.00772707447702778	1.49856115683268e-05	1.79571330936772e-05
"Esox_lucius"	2.35457826220534e-06	0.00101471246034194	0.00101432314797354	4.3170935544965e-06	1.00806530282088	0	0.0201691085421712	7.87232570844368e-06	1.56411746297691e-05	7.86933099791753e-06	3.32084119576654e-08	1.56416030501286e-05	0.0201613060564176	7.83569416560031e-06	1.56416030501287e-05	1.56748114620863e-05	0.0201613060564176	1.56411746297691e-05	1.56411746297691e-05	1.56748114620863e-05	1.56411746297691e-05	0.0201613060564176	1.56411746297691e-05	7.80548046416879e-06	0.0201691115368817	0	0	6.68452442748846e-08	3.32084119576654e-08	7.80548046416879e-06	7.80248575364264e-06
"Catostomus_catostomus"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0
"Tetraonchus_monenteron"	5.85125149828914e-05	0.000160995969215056	0.0502508839506884	0.000116937219786627	0.050422771355428	0	1.00139500068827	2.97384067888942e-06	0.000388683208766847	0.000388280671305608	8.99517075281745e-07	0.000388619584762749	0.00100845542710856	0.000387444778234424	0.00038861958476275	0.000389519101838031	0.00100845542710856	0.000388683208766847	0.000388683208766847	0.000389519101838031	0.000388683208766847	0.00100845542710856	0.000388683208766847	1.23843053242351e-06	0.00100969385764098	0	0	1.73541014646591e-06	8.99517075281744e-07	1.23843053242351e-06	0.000386545261159142
"Discocotyle_sagittata"	0.0335272519656424	0.033616884664596	0.000223619447433827	0.0336292243895813	1.31205428474061e-05	0	1.98256045259294e-06	1.00099623850432	0.000518997911550855	0.000739367233420283	0.000258686341458318	0.000739272312458857	2.62410856948122e-07	0.000260406491053963	0.000739272312458858	0.000997958653917175	2.62410856948122e-07	0.000518997911550855	0.000518997911550855	0.000997958653917175	0.000518997911550855	2.62410856948122e-07	0.000518997911550855	0.000258591420496892	0.000258853831353841	0	0	0.000737647083824638	0.000258686341458318	0.000258591420496892	1.72014959564482e-06
"Crepidostomum_farionis"	0.000121095083228248	0.0336180963387697	0.0336180996697311	0.0336267412939891	2.60686243829485e-05	0	0.000259122139177898	0.000518997911550855	1.00077586874848	0.000518997937173636	0.000258667240722993	0.000518931437518101	5.21372487658969e-07	0.000517268007413232	0.000518931437518102	0.000777598678241094	5.21372487658969e-07	0.000775868748480691	0.000775868748480691	0.000777598678241094	0.000775868748480691	5.21372487658969e-07	0.000775868748480691	0.000258600741067459	0.000259122113555118	0	0	0.000260397170483396	0.000258667240722993	0.000258600741067459	0.000258600766690239
"Crepidostomum_cooperi"	0.0335272536258652	0.000210739770886422	0.0336168910788283	0.0336421009828578	1.31155516631959e-05	0	0.000258853780870405	0.000739367233420283	0.000518997937173635	1.0009963376281	0.00025878539217583	0.000739173311081594	2.62311033263917e-07	0.000517376862012971	0.000739173311081595	0.000997958703257424	2.62311033263917e-07	0.000518997937173635	0.000518997937173636	0.000997958703257424	0.000518997937173635	2.62311033263917e-07	0.000518997937173636	1.62107516066479e-06	1.8833861939287e-06	0	0	0.000737746158259618	0.000258785392175829	1.62107516066479e-06	0.000258591469837141
