"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Soulamea_terminaloides"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_093"	"Lygistorrhina_sp1_M_PL_093"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Plagiostenopterina_cyanosoma"	"Unidentified_sp2_M_PL_093"	"Unidentified_sp4_M_PL_093"	"Unidentified_sp5_M_PL_093"	"Hemipyrellia_sp1_M_PL_093"	"Phelsuma_sp1_M_PL_093"	"Unidentified_sp3_M_PL_093"
"Nephrosperma_vanhoutteanum"	1.00671890109194	0.00120935191528308	0.000963201008160171	0.000485037265123889	0.000724518820505173	0.0144540456757414	0.0144419845690638	0.0144179245280529	0.0144058856253333	1.21259316280972e-05	1.21259316280972e-05	2.41870383056616e-05	2.41870383056616e-05	0.0143816985870277	1.21259316280972e-05	2.41870383056616e-05	3.62259410252587e-05	0.0143816985870277	0.0143816985870277
"Erythroxylum_sechellarum"	0.00169309268139631	1.00772906455773	0.00067568575528983	1.94861600235809e-06	1.21849059474366e-06	0.0202125526172247	5.8020041470212e-05	2.42479628353987e-05	0.0201787683294602	4.87154000589522e-08	4.87154000589522e-08	0.0201545812911545	0.0201545812911545	2.41870383056615e-05	4.87154000589522e-08	0.0201545812911545	6.09245297371828e-08	2.41870383056615e-05	2.41870383056615e-05
"Memecylon_eleagni"	0.0033712035285606	0.00168921438822458	1.00335024422851	0.00168792175670029	2.42619901299791e-06	0.0502494565495981	0.0502578703057511	4.82813603586585e-05	8.19443381725001e-05	4.21980439175072e-05	4.21980439175072e-05	3.37842877644915e-05	3.37842877644915e-05	4.81600504080086e-05	4.21980439175072e-05	3.37842877644915e-05	1.21309950649896e-07	4.81600504080086e-05	4.81600504080086e-05
"Dillenia_ferruginea"	0.000848815213966805	2.43577000294761e-06	0.000843960878350144	1.00840518736052	6.10878167662328e-07	5.43726909456634e-05	0.0252644536595587	1.21564755364803e-05	1.21746470281562e-05	0.0252101296840131	0.0252101296840131	4.87154000589522e-08	4.87154000589522e-08	1.21259316280972e-05	0.0252101296840131	4.87154000589522e-08	3.05439083831164e-08	1.21259316280972e-05	1.21259316280972e-05
"Soulamea_terminaloides"	0.00253581587176811	3.04622648685914e-06	2.42619901299791e-06	1.22175633532466e-06	1.00755850004741	3.64081755056457e-05	3.63777948842917e-05	0.0504141509433956	3.62868655549958e-05	3.05439083831164e-08	3.05439083831164e-08	6.09245297371827e-08	6.09245297371827e-08	3.62259410252586e-05	3.05439083831164e-08	6.09245297371827e-08	0.0503779250023703	3.62259410252586e-05	3.62259410252586e-05
"Lasioglossum_mahense"	0.0337261065767298	0.0336875876953745	0.0334996376997321	7.24969212608845e-05	2.42721170037638e-05	1.00283053516142	0.00215859583054284	0.0004830151283749	0.0011555532764322	1.81242303152211e-06	1.81242303152211e-06	0.00067375175390749	0.00067375175390749	0.000481801522524712	1.81242303152211e-06	0.00067375175390749	1.21360585018819e-06	0.000481801522524712	0.000481801522524712
"Apis_mellifera"	0.0336979639944822	9.670006911702e-05	0.0335052468705007	0.0336859382127449	2.42518632561944e-05	0.00215859583054284	1.00299881028448	0.00048261207879827	0.0004833334870178	0.000842148455318622	0.000842148455318622	1.9340013823404e-06	1.9340013823404e-06	0.00048139948563546	0.000842148455318622	1.9340013823404e-06	1.21259316280972e-06	0.00048139948563546	0.00048139948563546
"Unidentified_sp1_M_PL_093"	0.0504627358481853	6.06199070884968e-05	4.82813603586585e-05	2.43129510729607e-05	0.0504141509433956	0.00072452269256235	0.000723918118197404	1.00324160377357	0.000722108624544417	6.07823776824017e-07	6.07823776824017e-07	1.21239814176994e-06	1.21239814176994e-06	0.000720896226402647	6.07823776824017e-07	1.21239814176994e-06	0.00252070754716978	0.000720896226402647	0.000720896226402647
"Lygistorrhina_sp1_M_PL_093"	0.0504205996886667	0.0504469208236505	8.19443381725001e-05	2.43492940563123e-05	3.62868655549958e-05	0.0017333299146483	0.0007250002305267	0.000722108624544417	1.00172923269774	6.08732351407809e-07	6.08732351407809e-07	0.00100893841647301	0.00100893841647301	0.000720294281266667	6.08732351407809e-07	0.00100893841647301	1.81434327774979e-06	0.000720294281266667	0.000720294281266667
"Cratopus_aurostriatus"	8.48815213966805e-05	2.43577000294761e-07	8.43960878350145e-05	0.100840518736052	6.10878167662329e-08	5.43726909456634e-06	0.00252644536595587	1.21564755364803e-06	1.21746470281562e-06	1.0025210129684	0.00252101296840131	4.87154000589522e-09	4.87154000589522e-09	1.21259316280972e-06	0.00252101296840131	4.87154000589522e-09	3.05439083831164e-09	1.21259316280972e-06	1.21259316280972e-06
