"Spondias_cytherea"	"Uvaria_sp."	"Cerbera_manghas"	"Ochrosia_coccinea"	"Ochrosia_oppositifolia"	"Barringtonia_calyptrocalyx"	"Garcinia_hollrungii"	"Garcinia_ledermannii"	"Terminalia_sp."	"Pimelodendron_amboinicum"	"Pangium_edule"	"Gnetum_costatum"	"Gnetum_gnemon"	"Medusanthera_laxiflora"	"Neuburgia_corynocarpa"	"Ficus_conocephaliafolia"	"Ficus_hispidioides"	"Myristica_sp."	"Syzygium_pachycladum"	"Syzygium_samaragense"	"Syzygium_longipes"	"Syzygium_sp."	"Galearia_celebica"	"Morinda_bracteata"	"Nauclea_orientalis"	"Randia_dryadum"	"Versteegia_cauliflora"	"Pometia_pinnata"	"Phaleria_macrocarpa"	"Gmelina_moluccana"	"Adrama_selecta"	"Bactrocera_bancroftii"	"Bactrocera_bullata"	"Bactrocera_cheesmane"	"Bactrocera_diaphana"	"Bactrocera_enochra"	"Bactrocera_frauenfeldi"	"Bactrocera_hastigerina"	"Bactrocera_lineata"	"Bactrocera_neocheesmanae"	"Bactrocera_paramusae"	"Bactrocera_penefurva"	"Bactrocera_tinomiscii"	"Bactrocera_trivialis"	"Bactrocera_sp._1"	"Bactrocera_sp._2"	"Bactrocera_sp._3"	"Bactrocera_sp._4"	"Bactrocera_sp._5"	"Bactrocera_sp._6"	"Bactrocera_sp._7"	"Bactrocera_sp._8"	"Bactrocera_sp._9"	"Bactrocera_sp._10"	"Bactrocera_sp._11"	"Euphranta_marginata"	"Euphranta_perkinsi"	"Euphranta_quatei"	"Euphranta_sp."
"Spondias_cytherea"	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0	0	0	0
"Uvaria_sp."	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0
"Cerbera_manghas"	0	0	1.00504205223357	0	0.00252948957945179	0	0	0	0	0	0.00252523128701902	0	0	0	0	0	4.23700097060601e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43163193150596e-05	0.0505046257403803	0	0	0	0	0.0503364189309935	0	0	8.47400194121202e-05	0	0	0	0	0
"Ochrosia_coccinea"	0	0	0	1.00505050505051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00252525252525253	0	0	0	0	0	0.00252525252525253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0.0505050505050505
"Ochrosia_oppositifolia"	0	0	0.00168632638630119	0	1.0067241416189	0	0	0	0	0	4.23700097060601e-06	0	0	0	0	0	0.00168630509483903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335574713872966	8.47400194121202e-05	0	0	0	0	0.0336417877066117	0	0	0.0337261018967805	0	0	0	0	0
"Barringtonia_calyptrocalyx"	0	0	0	0	0	1.00467322959041	0	0	0.00048514879960065	0	0	0	0	0	0	0	0	0	0.00132431882510823	0.00132431882510823	0.000482723055602647	0.000482723055602647	0.000482723055602647	0	0	0	0	0	0.000845824893975458	0	0.0334891076530137	0	4.22912446987729e-05	0	0	0	0.0336638307802232	0	0	0	0	2.42574399800325e-05	0	0.0337906138921853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_hollrungii"	0	0	0	0	0	0	1.00672274585318	0.00168913212391473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168913212391473	0	0	0	0	0	0	0	0.050336137292659	0	0	0	0	0	0.050673963717442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_ledermannii"	0	0	0	0	0	0	0.00337826424782947	1.00336137292659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00336137292659032	0	0	0	0	0	0	0	0.000168913212391473	0	0	0	0	0	0.10084118779771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Terminalia_sp."	0	0	0	0	0	0.000727723199400976	0	0	1.00575163289663	0	0	0	0	0	0	0	0	0	0.000725297455402972	0.000725297455402972	0.000722874732142778	0.000722874732142778	0.000722874732142778	0	0	0	0	0	2.43489774893911e-06	0	2.42574399800325e-05	0	1.21744887446956e-07	0	0	0	9.69089304077767e-05	0	0	0	0	0.0502875816448313	0	0.0506012312499945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pimelodendron_amboinicum"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0	0
