"Canthium_bibracteatum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Ochna_kirkii"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Apis_mellifera"	"Ornidia_obesa"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_109"	"Xylocopa_caffra"	"Hemipyrellia_germana"	"Pachycerina_seychellensis"	"Dichaetomyia_fasciculifera"	"Hemipyrellia_sp1_M_PL_109"	"Lygistorrhina_sp1_M_PL_109"	"Plagiostenopterina_cyanosoma"	"Simosyrphus_aegyptius"
"Canthium_bibracteatum"	1.00314320110929	0.00126305022164341	0.00252914891268104	0.00126483763896675	0.00126668793168654	1.58674650960228e-06	0.000632497540232642	0.0251671490887487	0.0251734021012591	0.0251671044033156	8.85243755833291e-05	3.1614361408513e-05	3.17349301920456e-05	0.0251101943891408	6.32353023826816e-05	3.1614361408513e-05	5.69481200422437e-05	3.16209409741687e-05	2.53337586337307e-05	3.16248770116321e-05
"Psidium_cattleianum"	0.00126305022164341	1.00335638874815	0.00147952209008475	0.000634765002258231	0.00147455071464635	0.00126049797581426	0.000632235348410097	9.54304210165274e-05	0.0251629668667219	0.0251634710146639	0.0251318947591228	1.84940261260594e-05	0.0252099595162852	5.00702816671447e-05	3.43631511825151e-05	1.84940261260594e-05	4.79850404189863e-05	1.58691250564558e-05	2.94910142929269e-05	3.16117674205049e-05
"Premna_serratifolia"	0.00126457445634052	0.000739761045042374	1.00545674438091	0.000950255811844463	0.00168688682529641	9.29348046535646e-07	1.85823353033167e-06	0.0126573177979719	7.39576945072005e-05	0.0126520554288019	0.0126204410673934	0.0125682093047614	1.85869609307129e-05	0.0125998236661699	0.0125919657000575	0.0125682093047614	0.0126019470412673	2.37563952961116e-05	3.37377365059283e-05	9.29116765165836e-08
"Erythroxylum_sechellarum"	0.00126483763896675	0.000634765002258231	0.00190051162368893	1.00503001960906	0.000636789712965989	7.97443470173658e-07	0.000633289070597665	0.0251938636207562	0.0252049050097871	8.39822555860558e-05	5.23613146118871e-05	2.37563952961116e-05	1.59488694034731e-05	5.53773362702802e-05	0.0251495068855227	2.37563952961116e-05	3.64921895554314e-05	0.0251257504902266	1.27357942593198e-05	3.16644535298833e-05
"Cinnamomum_verum"	0.00101335034534923	0.00117964057171708	0.00269901892047426	0.000509431770372791	1.00469638689567	1.48196051723251e-06	1.69963691033905e-06	0.0201657350273124	6.76455490314944e-05	0.020182490247346	0.0201571564887122	3.37377365059283e-05	2.96392103446502e-05	5.9071495139659e-05	4.64735307652481e-05	3.37377365059283e-05	0.0201276654744193	1.27357942593198e-05	0.0200939277379134	8.49818455169528e-08
"Ochna_kirkii"	6.34698603840912e-06	0.00504199190325705	7.43478437228517e-06	3.18977388069463e-06	7.40980258616254e-06	1.00503145978882	3.17706205231205e-06	4.7954985435441e-07	0.00012644706968202	0.000126449603088763	0.000126290928437803	9.29348046535646e-08	0.100629195776464	2.51609455613793e-07	1.7267915167093e-07	9.29348046535646e-08	2.41130856376816e-07	7.97443470173658e-08	1.48196051723251e-07	1.58853102615602e-07
"Memecylon_eleagni"	0.00126499508046528	0.00126447069682019	7.43293412132668e-06	0.00126657814119533	4.24909227584764e-06	1.58853102615602e-06	1.00629169562511	6.34672240635489e-05	0.0504094858792173	6.34145379541705e-05	3.17896609425384e-05	9.29116765165836e-08	3.17706205231205e-05	3.17177886881487e-05	3.17573652063998e-05	9.29116765165836e-08	1.77893522033536e-07	3.16644535298833e-05	8.49818455169527e-08	0.0503145847812553
"Lasioglossum_mahense"	0.0251671490887487	9.54304210165275e-05	0.0253146355959438	0.0251938636207562	0.0252071687841405	1.19887463588602e-07	3.17336120317744e-05	1.00207960163837	0.00126299775886462	0.00145214080837624	0.00082296208115752	0.000316432944949298	2.39774927177205e-06	0.000945611672168015	0.000946279535468202	0.000316432944949298	0.000820576320632107	0.000629846590518904	0.000504143375682809	1.58668060158872e-06
"Apis_mellifera"	0.0251734021012591	0.0251629668667219	0.000147915389014401	0.0252049050097871	8.4556936289368e-05	3.16117674205049e-05	0.0252047429396087	0.00126299775886462	1.00314876899642	0.00126194930528799	0.000632614252756514	1.84894236268001e-06	0.000632235348410097	0.000631183994894159	0.000631971567607357	1.84894236268001e-06	3.54008108846737e-06	0.000630122625244677	1.69113872578736e-06	0.00126023714698043
"Ornidia_obesa"	0.0251671044033156	0.0251634710146639	0.0253041108576037	8.39822555860558e-05	0.0252281128091825	3.16124007721908e-05	3.17072689770852e-05	0.00145214080837624	0.00126194930528799	1.00207912802735	0.00144995041727029	0.000316301385720047	0.000632248015443817	0.000945478995802937	0.000318400942109698	0.000316301385720047	0.000820863641903696	2.0995563896514e-06	0.000504562256183649	1.58536344885426e-06
"Parasarcophaga_hirticeps"	0.000118032500777772	0.0335091930121638	0.0336545095130489	6.98150861491829e-05	0.0335952608145204	4.20969761459344e-05	2.11931072950256e-05	0.00109728277487669	0.000843485670342019	0.00193326722302706	1.00193031641051	0.000420681368913112	0.000841939522918687	0.000423632181432556	0.000422426746066841	0.000420681368913112	0.00109258658520352	1.74537715372957e-06	0.000671905216290408	1.05965536475128e-06
"Unidentified_sp1_M_PL_109"	0.000126457445634052	7.39761045042374e-05	0.100545674438091	9.50255811844464e-05	0.000168688682529641	9.29348046535646e-08	1.85823353033167e-07	0.00126573177979719	7.39576945072005e-06	0.00126520554288019	0.00126204410673934	1.00125682093048	1.85869609307129e-06	0.00125998236661699	0.00125919657000575	0.00125682093047614	0.00126019470412673	2.37563952961116e-06	3.37377365059283e-06	9.29116765165836e-09
"Xylocopa_caffra"	6.34698603840912e-05	0.0504199190325705	7.43478437228517e-05	3.18977388069463e-05	7.40980258616254e-05	0.0503145978882319	3.17706205231205e-05	4.7954985435441e-06	0.0012644706968202	0.00126449603088763	0.00126290928437803	9.29348046535646e-07	1.00629195776464	2.51609455613793e-06	1.7267915167093e-06	9.29348046535646e-07	2.41130856376816e-06	7.97443470173658e-07	1.48196051723251e-06	1.58853102615602e-06
"Hemipyrellia_germana"	0.0502203887782815	0.000100140563334289	0.0503992946646795	0.00011075467254056	0.000147678737849148	1.25804727806896e-07	3.17177886881487e-05	0.00189122334433603	0.00126236798978832	0.00189095799160587	0.000635448272148835	0.000629991183308494	2.51609455613793e-06	1.00188550090277	0.000632760050122008	0.000629991183308494	0.000632944758065477	2.76886681351401e-06	2.95357475698295e-06	1.58588943440743e-06
"Pachycerina_seychellensis"	0.000126470604765363	6.87263023650303e-05	0.0503678628002299	0.0502990137710453	0.00011618382691312	8.63395758354652e-08	3.17573652063998e-05	0.0018925590709364	0.00126394313521471	0.000636801884219396	0.000633640119100262	0.000629598285002874	1.7267915167093e-06	0.000632760050122008	1.00188707362928	0.000629598285002874	0.000631921961541137	0.00125747534427613	2.3236765382624e-06	1.58786826031999e-06
"Dichaetomyia_fasciculifera"	0.000126457445634052	7.39761045042375e-05	0.100545674438091	9.50255811844463e-05	0.000168688682529641	9.29348046535646e-08	1.85823353033167e-07	0.00126573177979719	7.39576945072005e-06	0.00126520554288019	0.00126204410673934	0.00125682093047614	1.85869609307129e-06	0.00125998236661699	0.00125919657000575	1.00125682093048	0.00126019470412673	2.37563952961116e-06	3.37377365059283e-06	9.29116765165836e-09
"Hemipyrellia_sp1_M_PL_109"	0.000113896240084487	9.59700808379726e-05	0.0504077881650692	7.29843791108627e-05	0.0503191636860483	1.20565428188408e-07	1.77893522033536e-07	0.00164115264126421	7.08016217693475e-06	0.00164172728380739	0.00163887987780528	0.000630097352063365	2.41130856376816e-06	0.000632944758065477	0.000631921961541137	0.000630097352063365	1.00163648062578	1.82460947777157e-06	0.00100638327372097	8.89467610167682e-09
"Lygistorrhina_sp1_M_PL_109"	0.000126483763896675	6.34765002258232e-05	0.000190051162368893	0.100503001960906	6.36789712965989e-05	7.97443470173658e-08	6.33289070597665e-05	0.00251938636207562	0.00252049050097871	8.39822555860558e-06	5.23613146118872e-06	2.37563952961116e-06	1.59488694034731e-06	5.53773362702803e-06	0.00251495068855227	2.37563952961116e-06	3.64921895554314e-06	1.00251257504902	1.27357942593198e-06	3.16644535298833e-06
"Plagiostenopterina_cyanosoma"	0.000101335034534923	0.000117964057171708	0.000269901892047426	5.09431770372791e-05	0.100469638689567	1.48196051723251e-07	1.69963691033906e-07	0.00201657350273124	6.76455490314944e-06	0.0020182490247346	0.00201571564887122	3.37377365059283e-06	2.96392103446502e-06	5.9071495139659e-06	4.64735307652481e-06	3.37377365059283e-06	0.00201276654744193	1.27357942593198e-06	1.00200939277379	8.49818455169528e-09
"Simosyrphus_aegyptius"	0.000126499508046528	0.00012644706968202	7.43293412132669e-07	0.000126657814119533	4.24909227584764e-07	1.58853102615602e-07	0.100629169562511	6.34672240635489e-06	0.00504094858792173	6.34145379541705e-06	3.17896609425384e-06	9.29116765165836e-09	3.17706205231205e-06	3.17177886881487e-06	3.17573652063998e-06	9.29116765165836e-09	1.77893522033536e-08	3.16644535298833e-06	8.49818455169528e-09	1.00503145847813
