"Memecylon_eleagni"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Unidentified_sp1_M_PL_124"	"Unidentified_sp2_M_PL_124"	"Unidentified_sp4_M_PL_124"	"Cratopus_aurostriatus"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_124"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_124"
"Memecylon_eleagni"	1.00840549585906	0.00169338151963482	2.13272231692042e-06	0	0.0336558510666261	4.24411741067165e-05	1.06636115846021e-07	0	4.23345379908704e-05	0.0336135165286353	4.23345379908705e-05	0.0336135165286353	0
"Mimusops_sechellarum"	0.00127003613972611	1.00756200418272	0.00126896977856765	0	0.0252313846425588	0.0252524985934963	6.34484889283827e-05	0	0.0251890501045679	4.23345379908705e-05	0.0251890501045679	4.23345379908705e-05	0
"Roscheria_melanochaetes"	3.19908347538064e-06	0.00253793955713531	1.0075598714604	0	6.35551250442287e-05	0.0504414420619483	0.05037799357302	0	6.34484889283826e-05	1.06636115846021e-07	6.34484889283827e-05	1.06636115846021e-07	0
"Excoecaria_benthiamiana"	0	0	0	1.01010101010101	0	0	0	0.0505050505050505	0	0	0	0	0.0505050505050505
"Apis_mellifera"	0.0504837765999392	0.0504627692851176	6.35551250442287e-05	0	1.00294436178546	0.00126474698838015	3.17775625221144e-06	0	0.00126156923212794	0.00168279255333131	0.00126156923212794	0.00168279255333131	0
"Unidentified_sp1_M_PL_124"	6.36617611600747e-05	0.0505049971869926	0.0504414420619483	0	0.00126474698838015	1.00378469703277	0.00252207210309742	0	0.00126262492967481	2.12205870533582e-06	0.00126262492967481	2.12205870533582e-06	0
"Unidentified_sp2_M_PL_124"	3.19908347538064e-07	0.000253793955713531	0.10075598714604	0	6.35551250442287e-06	0.00504414420619484	1.0050377993573	0	6.34484889283827e-06	1.06636115846021e-08	6.34484889283827e-06	1.06636115846021e-08	0
"Unidentified_sp4_M_PL_124"	0	0	0	0.101010101010101	0	0	0	1.0050505050505	0	0	0	0	0.00505050505050505
"Cratopus_aurostriatus"	0.000127003613972611	0.100756200418272	0.000126896977856765	0	0.00252313846425588	0.00252524985934963	6.34484889283826e-06	0	1.00251890501046	4.23345379908705e-06	0.00251890501045679	4.23345379908705e-06	0
"Lasioglossum_mahense"	0.100840549585906	0.000169338151963482	2.13272231692043e-07	0	0.00336558510666261	4.24411741067164e-06	1.06636115846021e-08	0	4.23345379908704e-06	1.00336135165286	4.23345379908704e-06	0.00336135165286353	0
"Lygistorrhina_sp1_M_PL_124"	0.000127003613972611	0.100756200418272	0.000126896977856765	0	0.00252313846425588	0.00252524985934963	6.34484889283826e-06	0	0.00251890501045679	4.23345379908705e-06	1.00251890501046	4.23345379908705e-06	0
"Simosyrphus_aegyptius"	0.100840549585906	0.000169338151963482	2.13272231692043e-07	0	0.00336558510666262	4.24411741067165e-06	1.06636115846021e-08	0	4.23345379908704e-06	0.00336135165286353	4.23345379908704e-06	1.00336135165286	0
"Unidentified_sp3_M_PL_124"	0	0	0	0.101010101010101	0	0	0	0.00505050505050505	0	0	0	0	1.0050505050505
