"Apollonia_melanostoma"	"Proterorhinus_marmoratus"	"Perca_flavescens"	"Amia_calva"	"Percina_caprodes"	"Acipenser_fulvescens"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Micropterus_dolomieu"	"Micropterus_sp."	"Notropis_hudsonius"	"Salvelinus_namaycush"	"Sander_vitreus"	"Cystidicola_stigmatura"	"Sphaeromyxa_sevastopoli"	"Proteocephalus_ambloplitis"	"Dichelyne_cotylophora"	"Raphidascaris_acus"	"Eustrongylides_tubifex"	"Spiroxys_sp."	"Leptorhynchoides_thecatus"	"Myxobolus_burti"	"Neochasmus_umbellus"	"Diplostomum_spathaceum"	"Diplostomum_sp."	"Ichthyocotylurus_pileatus"	"Digenea_gen._sp."	"Proteocephalus_sp."	"Scolex_pleuronectis"	"Hysterothylacium_brachyurum"	"Truttaedacnitis_clitellarius"	"Philometra_cylindraceum"	"Haplonema_immutatum"	"Rhabdochona_decaturensis"	"Contracaecum_sp."	"Spinitectus_sp."	"Spiroxys_contortus"	"Philometra_sp."	"Dioctophymidae"	"Neoechinorhynchus_tumidus"	"Neoechinorhynchus_sp."	"Southwellina_hispida"	"Myzobdella_lugubris"	"Piscicolaria_reducta"
"Apollonia_melanostoma"	1.00840682484758	0.00135508195948163	0.000338677819300518	0	0	0	0	0	0	0	0	0	4.2547464736246e-07	0	0.006737768631867	0	8.50949294724918e-06	0.006737768631867	0.00673117911113305	0.006737768631867	0.006737768631867	0	0.00672271216565053	0.00672271216565054	0.00672271216565053	0.00672271216565053	0.00672271216565054	1.50564662164626e-05	0.00672271216565054	0	0	8.46694548251295e-06	0	0.00672271216565054	1.50564662164626e-05	0.00672271216565054	1.50564662164626e-05	0.00672271216565054	8.46694548251294e-06	0.00672271216565054	1.50564662164626e-05	1.50564662164626e-05	0	0
"Proterorhinus_marmoratus"	0.00225846993246939	1.00784178069868	7.58516952520756e-07	0	0	0	0	0	0	0	0	0	9.52910744372809e-10	0	0.0112132984739795	0	1.90582148874562e-08	0.0112132984739795	1.50754291402756e-05	0.0112132984739795	0.0112132984739795	0	1.50564662164626e-05	1.50564662164626e-05	1.50564662164626e-05	1.50564662164626e-05	1.50564662164626e-05	0.0111982420077631	1.50564662164626e-05	0	0	1.89629238130189e-08	0	1.50564662164626e-05	0.0111982420077631	1.50564662164626e-05	0.0111982420077631	1.50564662164626e-05	1.89629238130189e-08	1.50564662164626e-05	0.0111982420077631	0.0111982420077631	0	0
"Perca_flavescens"	0.00127004182237694	1.7066631431717e-06	1.00756347835123	0	0	0	0	0	0	0	0	0	0.00126578326426034	0	8.48590840632596e-06	0	0.0253156652852068	8.48590840632596e-06	0.0251975539042633	8.48590840632596e-06	8.48590840632595e-06	0	8.46694548251294e-06	8.46694548251294e-06	8.46694548251294e-06	8.46694548251294e-06	8.46694548251294e-06	1.89629238130189e-08	8.46694548251294e-06	0	0	0.0251890869587807	0	8.46694548251294e-06	1.89629238130189e-08	8.46694548251294e-06	1.89629238130189e-08	8.46694548251294e-06	0.0251890869587807	8.46694548251294e-06	1.89629238130189e-08	1.89629238130189e-08	0	0
"Amia_calva"	0	0	0	1.00756942862206	0	0	0	0	0.0025315814789499	0	0	0	0	0	0	0.050631629578998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050378471431103	0	0	0	0	0	0	0	0	0	0	0
"Percina_caprodes"	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505
"Acipenser_fulvescens"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_artedi"	0	0	0	0	0	0	1.003367003367	0.00336700336700337	0	0	0	0.00336700336700337	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_clupeaformis"	0	0	0	0	0	0	0.00336700336700337	1.003367003367	0	0	0	0.00336700336700337	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_dolomieu"	0	0	0	0.0050631629578998	0	0	0	0	1.00503784714311	0	0	0	0	0	0	0.100756942862206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025315814789499	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_sp."	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
