"Pimephlales_promelas"	"Perca_flavescens"	"Morone_chrysops"	"Pomoxis_nigromaculatus"	"Esox_lucius"	"Sander_vitreum"	"Bothriocephalus_sp."	"Proteocephalus_sp."	"Contracaecum_sp."	"Neascus_of_Posthodiplostomum_sp."	"Raphidascaris_sp."	"Myxobolus_sp"	"Unicauda_sp."	"Dactylogyrus_sp."	"Gyrodactylus_hoffmani"	"Gyrodactylus_sp."	"Onchocleidus_chrysops"	"Diplostomum_spathaceum"	"Diplostomulum_sp."	"Neascus_sp."	"Bothriocephalus_cuspidatus"	"Gryporhynchidae"	"Ligula_intestinalis"	"Raphidascaris_acus"	"Rhabdochona_sp."	"Spiroxys_sp."	"Myzobdella_lugubris"
"Pimephlales_promelas"	1.00801175046553	0.000593868199964863	0.00045302545763213	0.000591147795666492	0.000450252899140646	9.6528307633755e-07	0.00845985983260604	0.00843167107465576	2.88136998286759e-05	0.0084198028470683	0.00840858175197415	0.00840009792054609	0.00840009792054607	0.00840009792054608	0.00840009792054608	8.48383142806947e-06	9.06050915264262e-06	0.00840009792054608	0.00840009792054608	0.00840009792054609	4.82641538168775e-08	8.48383142806947e-06	0.00840009792054609	8.48383142806947e-06	8.48383142806947e-06	9.06050915264261e-06	8.48383142806947e-06
"Perca_flavescens"	0.00101805977136834	1.00821091117068	0.000291473496012447	0.000290255459465386	0.000289789913147763	5.20290332296258e-07	0.0144414909957119	2.88027970057066e-05	1.55306664190433e-05	1.8159013410249e-05	0.0144114968481521	8.48383142806948e-06	8.48383142806946e-06	8.48383142806948e-06	8.48383142806947e-06	0.0144030130167241	5.82946992024895e-06	8.48383142806947e-06	8.48383142806947e-06	8.48383142806948e-06	2.60145166148129e-08	0.0144030130167241	8.48383142806947e-06	0.0144030130167241	0.0144030130167241	5.82946992024894e-06	0.0144030130167241
"Morone_chrysops"	0.00108726109831711	0.000408062894417426	1.00577294958189	0.00107949762836271	0.00107701600386978	0.00067622289415827	0.0202201830251828	0.0201783703009839	0.0201852533906244	4.50437634313995e-05	1.48899790728916e-05	9.06050915264262e-06	9.0605091526426e-06	9.06050915264261e-06	9.06050915264261e-06	5.82946992024894e-06	0.0201154589916377	9.06050915264261e-06	9.06050915264261e-06	9.06050915264262e-06	3.38111447079135e-05	5.82946992024894e-06	9.06050915264261e-06	5.82946992024894e-06	5.82946992024894e-06	0.0201154589916377	5.82946992024894e-06
"Pomoxis_nigromaculatus"	0.00236459118266597	0.000677262738752568	0.00179916271393784	1.00346240915925	0.000673935641098121	0.00112364866531052	0.0335478071168129	8.93849628558793e-05	0.0335409126595191	0.0334684518984971	2.93801085043959e-05	1.97049265222164e-05	1.97049265222164e-05	1.97049265222164e-05	1.97049265222164e-05	9.67518198217954e-06	3.59832542787569e-05	1.97049265222164e-05	1.97049265222164e-05	1.97049265222164e-05	5.61824332655261e-05	9.67518198217953e-06	1.97049265222164e-05	9.67518198217953e-06	9.67518198217953e-06	3.59832542787569e-05	9.67518198217953e-06
"Esox_lucius"	0.00270151739484388	0.00101426469601717	0.00269254000967446	0.00101090346164718	1.0026788467005	2.93783833048306e-06	0.0502584920578876	0.0502103057801754	8.76944741649194e-05	5.62094270119384e-05	3.70021406144204e-05	2.25126449570323e-05	2.25126449570323e-05	2.25126449570323e-05	2.25126449570323e-05	1.44894956573881e-05	5.38508001934893e-05	2.25126449570323e-05	2.25126449570323e-05	2.25126449570323e-05	1.46891916524153e-07	1.44894956573881e-05	2.25126449570323e-05	1.44894956573881e-05	1.44894956573881e-05	5.38508001934892e-05	1.44894956573881e-05
"Sander_vitreum"	5.7916984580253e-06	1.8210161630369e-06	0.00169055723539567	0.00168547299796579	2.93783833048306e-06	1.0067144293147	9.02147485603955e-05	3.40063007782545e-05	0.0504257150437083	5.6230697419343e-05	7.42786704316904e-08	4.82641538168775e-08	4.82641538168775e-08	4.82641538168775e-08	4.82641538168775e-08	2.60145166148129e-08	3.38111447079135e-05	4.82641538168775e-08	4.82641538168775e-08	4.82641538168775e-08	0.0503357214657348	2.60145166148129e-08	4.82641538168775e-08	2.60145166148129e-08	2.60145166148129e-08	3.38111447079135e-05	2.60145166148129e-08
"Bothriocephalus_sp."	0.0203036635982545	0.0202180873939967	0.0202201830251828	0.0201286842700877	0.0201033968231551	3.60858994241582e-05	1.00253855666056	0.00157877069831353	0.00107716409781112	0.000840153338988379	0.00045802701656636	0.000169197196652121	0.000169197196652121	0.000169197196652121	0.000169197196652121	0.000288829819914239	0.000404403660503657	0.000169197196652121	0.000169197196652121	0.000169197196652121	1.80429497120791e-06	0.000288829819914239	0.000169197196652121	0.000288829819914239	0.000288829819914239	0.000404403660503657	0.000288829819914239
"Proteocephalus_sp."	0.033726684298623	6.72065263466486e-05	0.0336306171683064	8.93849628558793e-05	0.0334735371867836	2.2670867185503e-05	0.00263128449718922	1.0026273449052	0.000676725385487266	0.000284035201250388	0.000282015795722049	0.000281055702488525	0.000281055702488525	0.000281055702488525	0.000281055702488525	9.60093233523552e-07	0.000672612343366128	0.000281055702488525	0.000281055702488525	0.000281055702488525	1.13354335927515e-06	9.60093233523551e-07	0.000281055702488525	9.60093233523551e-07	9.60093233523551e-07	0.000672612343366128	9.60093233523551e-07
"Contracaecum_sp."	0.000115254799314703	3.62382216444343e-05	0.0336420889843739	0.0335409126595191	5.84629827766129e-05	0.0336171433624722	0.00179527349635187	0.000676725385487265	1.0034717293698	0.00111899087864493	1.47814554159064e-06	9.60456660955863e-07	9.60456660955861e-07	9.60456660955863e-07	9.60456660955862e-07	5.17688880634776e-07	0.000672841779687479	9.60456660955862e-07	9.60456660955862e-07	9.60456660955863e-07	0.00168085716812361	5.17688880634776e-07	9.60456660955863e-07	5.17688880634776e-07	5.17688880634776e-07	0.000672841779687479	5.17688880634776e-07
"Neascus_of_Posthodiplostomum_sp."	0.0505188170824098	6.35565469358715e-05	0.000112609408578499	0.0502026778477456	5.62094270119383e-05	5.62306974193431e-05	0.00210038334747095	0.000426052801875582	0.00167848631796739	1.00209441273728	0.000421898093023927	0.000420990142353415	0.000420990142353414	0.000420990142353415	0.000420990142353415	9.07950670512451e-07	2.25218817156998e-06	0.000420990142353415	0.000420990142353415	0.000420990142353415	2.81153487096715e-06	9.0795067051245e-07	0.000420990142353415	9.07950670512451e-07	9.07950670512451e-07	2.25218817156998e-06	9.07950670512451e-07
