"Catostomus_catostomus"	"Coregonus_clupeaformis"	"Cottus_cognatus"	"Esox_lucius"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Anonchohaptor_anomalus"	"Dactylogyrus_buddi"	"Discocotyle_sagittata"	"Tetraonchus_borealis"	"Tetraonchus_monenteron"	"Tetraonchus_variabilis"	"Allocreadium_isosporum"	"Crepidostomum_farionis"	"Diplostomum_spathaceum_(L)"	"Heterophyid_meta_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Cyathocephalus_truncatus"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Glaridacris_catostomi"	"Proteocephalus_tumidocollus"	"Schistocephalus_solidus_(L)"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Capillaria_salvelini"	"Cystidicola_farionis"	"Raphidascaris_acus"	"Raphidascaris_acus_(L)"	"Neoechinorhynchus_tumidus"	"Piscicola_milneri"	"Salmincola_extensus"	"Salmincola_edwardsii"	"Salmincola_thymalli"
"Catostomus_catostomus"	1.00589261774866	0.000870274608161801	0.000363186911341773	0.000363642617104665	0.000870281473202339	0.000870281473202339	0.000870725269334365	0.0251473154437166	4.53983639177215e-06	2.44536748043706e-05	5.80483512889577e-06	4.04047352338516e-06	6.21629623715956e-06	9.84530865228093e-06	3.30339847195279e-05	0.0251803494284361	4.53983639177215e-06	4.53983639177215e-06	2.44536748043706e-05	1.86488396754748e-05	2.44536748043706e-05	2.44536748043706e-05	0.0251473154437166	3.30339847195279e-05	4.53983639177215e-06	4.04047352338516e-06	2.44536748043706e-05	1.82374276032149e-05	0.0251717691185209	4.04047352338516e-06	1.20210823300515e-05	3.30339847195279e-05	2.268931319886e-05	6.21624720115572e-06	6.21629623715956e-06	5.80483512889577e-06
"Coregonus_clupeaformis"	0.000248649888046229	1.00300380360843	0.000466396902766854	0.000647183228783288	0.00193124772698373	0.00193124772698373	0.00187248101901527	6.21624720115572e-06	5.82996128458567e-06	0.00720438534295343	1.24832067934351e-05	7.19092476425875e-06	1.37946266213123e-05	1.96741315576939e-05	0.00721740622900227	0.00722362247620342	5.82996128458567e-06	5.82996128458567e-06	0.00720438534295342	0.00719190213615999	0.00720438534295342	0.00720438534295342	6.21624720115572e-06	0.00721740622900227	5.82996128458567e-06	7.19092476425876e-06	0.00720438534295342	4.00724600360598e-05	0.00721060159015458	7.19092476425875e-06	0.0071767960897108	0.00721740622900227	0.00719909306092425	0.00716431288291736	1.37946266213123e-05	1.24832067934351e-05
"Cottus_cognatus"	0.000181593455670886	0.000816194579841994	1.00583958288791	0.000814488173245408	0.000816201003622194	0.000816201003622194	0.00081674899710059	4.53983639177215e-06	0.0125729947860988	2.29349689360495e-05	5.44499331400393e-06	9.04986859161564e-06	5.83000716872996e-06	1.44948619056196e-05	0.0126049796236265	0.0126095194600183	0.0125729947860988	0.0125729947860988	2.29349689360495e-05	1.74899756220456e-05	2.29349689360495e-05	2.29349689360495e-05	4.53983639177216e-06	0.0126049796236265	0.0125729947860988	9.04986859161564e-06	2.29349689360495e-05	1.71050076514639e-05	2.74748053278217e-05	9.04986859161564e-06	1.12749545985896e-05	0.0126049796236265	2.65398442136612e-05	5.82996128458567e-06	5.83000716872996e-06	5.44499331400393e-06
"Esox_lucius"	0.000161618940935407	0.00100672946699623	0.000723989487329251	1.00490845635353	0.00100670631003758	0.00100670631003758	0.00128680323214404	4.04047352338516e-06	9.04986859161564e-06	3.0151131693375e-05	8.57868821429363e-06	0.0111656495150392	7.19075935741131e-06	0.0111742282032535	0.0112048505153242	0.0112088909888476	9.04986859161564e-06	9.04986859161564e-06	3.0151131693375e-05	2.15724434790814e-05	3.0151131693375e-05	3.0151131693375e-05	4.04047352338516e-06	0.0112048505153242	9.04986859161564e-06	0.0111656495150392	3.0151131693375e-05	2.29602069291163e-05	3.41916052167602e-05	0.0111656495150392	1.57696129785524e-05	0.0112048505153242	0.0111872219585183	7.19092476425876e-06	7.19075935741131e-06	8.57868821429363e-06
"Prosopium_cylindraceum"	0.000248651849486383	0.00193124772698373	0.000466400573498397	0.000647168342167018	1.00288462859069	0.00216983230763092	0.00175308071055341	6.21629623715956e-06	5.83000716872996e-06	0.00720444226634635	1.16872047370227e-05	7.19075935741131e-06	0.00716346163279064	1.88779640944341e-05	0.00721746303287248	0.00722367932910964	5.83000716872996e-06	5.83000716872996e-06	0.00720444226634634	0.00719275506160932	0.00720444226634634	0.00720444226634634	6.21629623715956e-06	0.00721746303287249	5.83000716872996e-06	7.19075935741131e-06	0.00720444226634634	0.00719064763972503	0.0072106585625835	7.19075935741131e-06	2.54818313583351e-05	0.00721746303287248	0.00719994582096673	1.37946266213123e-05	1.54988021973637e-05	1.16872047370227e-05
"Salvelinus_namaycush"	0.000248651849486383	0.00193124772698373	0.000466400573498397	0.000647168342167018	0.00216983230763092	1.00288462859069	0.00175308071055341	6.21629623715956e-06	5.83000716872996e-06	0.00720444226634635	1.16872047370227e-05	7.19075935741131e-06	1.54988021973637e-05	1.88779640944341e-05	0.00721746303287248	0.00722367932910964	5.83000716872996e-06	5.83000716872996e-06	0.00720444226634634	0.00719275506160932	0.00720444226634634	0.00720444226634634	6.21629623715956e-06	0.00721746303287249	5.83000716872996e-06	7.19075935741131e-06	0.00720444226634634	0.00719064763972503	0.0072106585625835	7.19075935741131e-06	2.54818313583351e-05	0.00721746303287248	0.00719994582096673	1.37946266213123e-05	0.00716346163279065	1.16872047370227e-05
"Thymallus_arcticus"	0.000232193405155831	0.00174764895108092	0.000435599465120315	0.000772081939286427	0.00163620866318318	0.00163620866318318	1.003641069014	5.80483512889576e-06	5.44499331400393e-06	0.00672679807636082	0.00669094046009334	8.57868821429363e-06	1.16872047370227e-05	0.00669951914830763	0.00674082175788911	0.00674662659301801	5.44499331400393e-06	5.44499331400393e-06	0.00672679807636082	3.58576162674806e-05	0.00672679807636082	0.00672679807636082	5.80483512889576e-06	0.00674082175788912	5.44499331400393e-06	8.57868821429363e-06	0.00672679807636082	0.00671431486956738	0.00673260291148971	8.57868821429363e-06	0.00670342366688677	0.00674082175788911	4.44363044817743e-05	1.24832067934351e-05	1.16872047370227e-05	0.00669094046009333
"Anonchohaptor_anomalus"	0.100589261774866	8.70274608161801e-05	3.63186911341773e-05	3.63642617104665e-05	8.70281473202339e-05	8.70281473202339e-05	8.70725269334365e-05	1.00251473154437	4.53983639177215e-07	2.44536748043706e-06	5.80483512889577e-07	4.04047352338516e-07	6.21629623715957e-07	9.84530865228093e-07	3.30339847195279e-06	0.00251803494284361	4.53983639177215e-07	4.53983639177215e-07	2.44536748043706e-06	1.86488396754749e-06	2.44536748043706e-06	2.44536748043706e-06	0.00251473154437166	3.30339847195279e-06	4.53983639177215e-07	4.04047352338516e-07	2.44536748043706e-06	1.82374276032149e-06	0.00251717691185209	4.04047352338516e-07	1.20210823300515e-06	3.30339847195279e-06	2.268931319886e-06	6.21624720115572e-07	6.21629623715957e-07	5.80483512889577e-07
"Dactylogyrus_buddi"	1.81593455670886e-05	8.16194579841994e-05	0.100583958288791	8.14488173245408e-05	8.16201003622195e-05	8.16201003622195e-05	8.1674899710059e-05	4.53983639177216e-07	1.00125729947861	2.29349689360495e-06	5.44499331400393e-07	9.04986859161564e-07	5.83000716872996e-07	1.44948619056196e-06	0.00126049796236265	0.00126095194600183	0.00125729947860988	0.00125729947860988	2.29349689360495e-06	1.74899756220456e-06	2.29349689360495e-06	2.29349689360495e-06	4.53983639177216e-07	0.00126049796236265	0.00125729947860988	9.04986859161564e-07	2.29349689360495e-06	1.71050076514639e-06	2.74748053278217e-06	9.04986859161564e-07	1.12749545985896e-06	0.00126049796236265	2.65398442136612e-06	5.82996128458567e-07	5.83000716872996e-07	5.44499331400393e-07
"Discocotyle_sagittata"	2.44536748043706e-05	0.025215348700337	4.58699378720991e-05	6.78400463100938e-05	0.0252155479322122	0.0252155479322122	0.0252254927863531	6.11341870109265e-07	5.73374223401238e-07	1.0007085016988	0.00016816995190902	7.53778292334375e-07	0.000180111056658659	0.000168923730201355	0.000709828851315909	0.000710440193186018	5.73374223401238e-07	5.73374223401238e-07	0.000708501698800173	0.000540331746891153	0.000708501698800173	0.000708501698800173	6.11341870109265e-07	0.000709828851315909	5.73374223401238e-07	7.53778292334375e-07	0.000708501698800173	0.000528392065226338	0.000709113040670282	7.53778292334375e-07	0.000348279585482856	0.000709828851315909	0.000541085525183487	0.000180109633573836	0.000180111056658659	0.00016816995190902
"Tetraonchus_borealis"	2.32193405155831e-05	0.000174764895108092	4.35599465120315e-05	7.72081939286427e-05	0.000163620866318318	0.000163620866318318	0.1003641069014	5.80483512889577e-07	5.44499331400393e-07	0.000672679807636082	1.00066909404601	8.57868821429363e-07	1.16872047370227e-06	0.000669951914830763	0.000674082175788911	0.000674662659301801	5.44499331400393e-07	5.44499331400393e-07	0.000672679807636082	3.58576162674806e-06	0.000672679807636082	0.000672679807636082	5.80483512889577e-07	0.000674082175788912	5.44499331400393e-07	8.57868821429363e-07	0.000672679807636082	0.000671431486956739	0.000673260291148971	8.57868821429363e-07	0.000670342366688677	0.000674082175788912	4.44363044817743e-06	1.24832067934351e-06	1.16872047370227e-06	0.000669094046009333
"Tetraonchus_monenteron"	1.61618940935407e-05	0.000100672946699623	7.23989487329251e-05	0.100490845635353	0.000100670631003758	0.000100670631003758	0.000128680323214404	4.04047352338516e-07	9.04986859161564e-07	3.0151131693375e-06	8.57868821429363e-07	1.0011165649515	7.19075935741131e-07	0.00111742282032535	0.00112048505153242	0.00112088909888476	9.04986859161564e-07	9.04986859161564e-07	3.0151131693375e-06	2.15724434790814e-06	3.0151131693375e-06	3.0151131693375e-06	4.04047352338516e-07	0.00112048505153242	9.04986859161564e-07	0.00111656495150392	3.0151131693375e-06	2.29602069291163e-06	3.41916052167602e-06	0.00111656495150392	1.57696129785524e-06	0.00112048505153242	0.00111872219585183	7.19092476425876e-07	7.19075935741131e-07	8.57868821429363e-07
"Tetraonchus_variabilis"	2.48651849486383e-05	0.000193124772698373	4.66400573498397e-05	6.47168342167018e-05	0.100288462859069	0.000216983230763092	0.000175308071055341	6.21629623715956e-07	5.83000716872996e-07	0.000720444226634634	1.16872047370228e-06	7.19075935741131e-07	1.00071634616328	1.88779640944341e-06	0.000721746303287248	0.000722367932910965	5.83000716872996e-07	5.83000716872996e-07	0.000720444226634634	0.000719275506160933	0.000720444226634634	0.000720444226634634	6.21629623715956e-07	0.000721746303287249	5.83000716872996e-07	7.19075935741132e-07	0.000720444226634634	0.000719064763972503	0.00072106585625835	7.19075935741131e-07	2.54818313583351e-06	0.000721746303287248	0.000719994582096673	1.37946266213123e-06	1.54988021973637e-06	1.16872047370228e-06
