"File"	"N.modules"	"Modularity"	"P.Null1"	"P.Null2"
"M_1_medioparana_GC1.txt"	7	0.612136	0.272	0.11
"M_10_littlecolorado_GC1.txt"	4	0.3754	0.686	0.5
"M_11_lakemichigan_GC1.txt"	8	0.558203	0.064	0.011
"M_12_lakesuperior_GC1.txt"	8	0.547601	0	0
"M_13_guandu_GC1.txt"	9	0.627167	0.03	0.009
"M_14_lebsko_GC1.txt"	4	0.393021	0.305	0.211
"M_15_zarivar_GC1.txt"	5	0.411243	0.446	0.354
"M_16_stmary_GC1.txt"	7	0.508981	0.467	0.306
"M_17_lakehuron_GC1.txt"	10	0.47168	0	0
"M_18_lakestclair_GC1.txt"	3	0.46195	0.303	0.257
"M_19_lakeerie_GC1.txt"	10	0.403618	0.002	0
"M_2_planicieparana_GC1.txt"	16	0.69459	0	0
"M_20_lakeontario_GC1.txt"	11	0.5579	0	0
"M_21_devilslake_GC1.txt"	4	0.512487	0.196	0.105
"M_22_bengal_GC1.txt"	7	0.637418	0.364	0.161
"M_23_hidvegi_GC1.txt"	7	0.563091	0.318	0.182
"M_24_riga_GC1.txt"	6	0.383857	0	0
"M_25_aluksnes_GC1.txt"	5	0.266723	0.568	0.213
"M_26_raznas_GC1.txt"	6	0.303007	0.53	0.096
"M_27_trespalos_GC1.txt"	6	0.260991	0.974	0.941
"M_28_mekong_GC1.txt"	10	0.618508	0.001	0
"M_29_tonkin_GC1.txt"	13	0.537729	0.015	0
"M_3_smallwood_GC1.txt"	4	0.253556	0.564	0.524
"M_30_coyuca_GC1.txt"	5	0.249723	0.95	0.871
"M_4_parsnip_GC1.txt"	5	0.431662	0.004	0.002
"M_5_mcgregor_GC1.txt"	6	0.434249	0.48	0.297
"M_6_woods_GC1.txt"	9	0.46874	0.008	0.002
"M_7_coldlake_GC1.txt"	5	0.423862	0.121	0.072
"M_8_aishihik_GC1.txt"	5	0.246548	0.785	0.679
"M_9_coastalrj_GC1.txt"	14	0.598519	0	0
"M_A_HP_001_GC1.txt"	5	0.282585	0.562	0.367
"M_A_HP_002_GC1.txt"	4	0.280554	0.922	0.789
"M_A_HP_003_GC1.txt"	4	0.109398	0.967	0.916
"M_A_HP_004_GC1.txt"	3	0.230104	0.371	0.277
"M_A_HP_005_GC1.txt"	5	0.110534	0.995	0.992
"M_A_HP_006_GC1.txt"	5	0.353956	0.361	0.201
"M_A_HP_007_GC1.txt"	4	0.347485	0.388	0.257
"M_A_HP_008_GC1.txt"	6	0.386134	0.69	0.587
"M_A_HP_009_GC1.txt"	4	0.213487	0.94	0.865
"M_A_HP_010_GC1.txt"	4	0.472947	0.08	0.034
"M_A_HP_011_GC1.txt"	4	0.190373	0.58	0.521
"M_A_HP_012_GC1.txt"	4	0.22449	0.923	0.879
"M_A_HP_013_GC1.txt"	5	0.176925	0.968	0.925
"M_A_HP_014_GC1.txt"	4	0.260272	0.826	0.693
"M_A_HP_015_GC1.txt"	3	0.208333	0.56	0.507
"M_A_HP_016_GC1.txt"	3	0.230104	0.367	0.272
"M_A_HP_017_GC1.txt"	4	0.263158	0.705	0.62
"M_A_HP_018_GC1.txt"	4	0.195827	0.791	0.599
