"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Chrysobalanus_icaco"	"Nepenthes_pervillei"	"Roscheria_melanochaetes"	"Cinnamomum_verum"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_126"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_126"	"Unidentified_sp2_M_PL_126"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_126"	"Unidentified_sp4_M_PL_126"	"Chalcidoma_disjunctum"	"Hemipyrellia_sp1_M_PL_126"	"Neavella_albipectus"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp5_M_PL_126"
"Nephrosperma_vanhoutteanum"	1.19800742737143	0.0512835177045147	0	0.0170735169328534	0.0132707790705361	0.0117459907515782	0.0146501790456097	0.0212194820494845	0.00608244040732904	0.291957139551794	0.187961325507157	0.137036558768412	0	0.0122467963275088	0.0276463252470329	0.00147453100783734	0.00130511008350869	0.00130511008350869	0.00106840661884406	0.000915636190350608	0.000652555041754344	0.000853675846642672	0.000737265503918671	0.000853675846642672	0.000652555041754344
"Memecylon_eleagni"	0.138892860449727	1.09397024718418	0	0.0319410081599118	0.024826874524295	0.00138831121139877	0.0274074457114081	0.00352760193544162	0.0113789841569686	0.546191239534491	0.0672021975763727	0.0161969641329856	0	0.00157234975247857	0.00320521985653217	0.00275854161381056	0.00015425680126653	0.00015425680126653	0.0227910468163371	0.00171296535696301	7.71284006332648e-05	0.00159705040799559	0.00137927080690528	0.00159705040799559	7.71284006332649e-05
"Dillenia_suffruticosa"	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0.110977860063547	0.0766584195837882	0	1.08269568718911	0.0233680114060803	0.00108984699451828	0.0257969444913001	0.00203622504386967	0.0107103385611201	0.514096250933767	0.0204130623948353	0.0127148816027132	0	0.00114456513862405	0.00256102753992802	0.0025964457117867	0.000121094110502031	0.000121094110502031	0.00159705040799559	0.00161230903070626	6.05470552510153e-05	0.0541347843594555	0.00129822285589335	0.0541347843594555	6.05470552510153e-05
"Nepenthes_pervillei"	0.0958445155094273	0.0662049987314534	0	0.025964457117867	1.11109055530525	0.000941231495265783	0.0222791793333956	0.0017585579924329	0.00924983784824013	0.443992216715526	0.0176294629773578	0.0109810341114341	0	0.000988488074266228	0.00221179651175601	0.123454506145028	0.000104581277251754	0.000104581277251754	0.00137927080690528	0.00139244870833722	5.22906386258769e-05	0.00129822285589335	0.0617272530725139	0.00129822285589335	5.22906386258769e-05
"Roscheria_melanochaetes"	0.0848321554280648	0.00370216323039671	0	0.00121094110502031	0.000941231495265784	1.21874306850324	0.00103906559334	0.0224333102093448	0.000431397768663484	0.0207070928958472	0.0148077369370209	0.21866913253777	0	0.00385731364308931	0.00195766512526303	0.000104581277251754	0.13541589650036	0.13541589650036	7.71284006332648e-05	6.49415995837503e-05	0.0677079482501799	6.05470552510153e-05	5.22906386258769e-05	6.05470552510153e-05	0.0677079482501799
"Cinnamomum_verum"	0.119032704745579	0.0822223371342244	0	0.0322461806141252	0.02506407675007	0.00116894879250751	1.0599273678818	0.00218401557124731	0.0114877018437821	0.551409688501541	0.0218946556331701	0.0136377359125876	0	0.00122763841481451	0.00274690857105182	0.00278489741667445	0.000129883199167501	0.000129883199167501	0.00171296535696301	0.0662454604926123	6.49415995837503e-05	0.00161230903070626	0.00139244870833722	0.00161230903070626	6.49415995837503e-05
"Mimusops_sechellarum"	0.197038047602356	0.0120946352072284	0	0.00290889291981382	0.00226100313312801	0.0288428274120147	0.00249601779571121	1.0866556161604	0.00103629310268367	0.0497420689288163	0.108435747215784	0.336499653140172	0	0.156752193883591	0.00454703186774668	0.000251222570347557	0.00320475860133497	0.00320475860133497	0.000251971566817258	0.000156001112231951	0.00160237930066748	0.000145444645990691	0.000125611285173778	0.000145444645990691	0.00160237930066748
"Canthium_bibracteatum"	0.131786208825463	0.0910318732557485	0	0.0357011285370672	0.0277495135447204	0.00129419330599045	0.0306338715834189	0.00241801723959524	1.01271852704133	0.610489297983849	0.0242405115938669	0.0150989219032219	0	0.00135917110211606	0.00304122020366452	0.00308327928274671	0.000143799256221161	0.000143799256221161	0.00189649735949476	0.00191461697396368	7.18996281105807e-05	0.00178505642685336	0.00154163964137335	0.00178505642685336	7.18996281105807e-05
"Apis_mellifera"	0.263572417650925	0.182063746511497	0	0.0714022570741343	0.0554990270894408	0.0025883866119809	0.0612677431668378	0.00483603447919047	0.0254370540826604	1.2209785959677	0.0484810231877339	0.0301978438064439	0	0.00271834220423213	0.00608244040732904	0.00616655856549342	0.000287598512442323	0.000287598512442323	0.00379299471898952	0.00382923394792736	0.000143799256221161	0.00357011285370672	0.00308327928274671	0.00357011285370672	0.000143799256221161
