"Cinnamomum_verum"	"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Chrysobalanus_icaco"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Nepenthes_pervillei"	"Mimusops_sechellarum"	"Timonius_sechellensis"	"Apis_mellifera"	"Neophyllomyza_approximatonervis"	"Lygistorrhina_sp1_M_PL_118"	"Unidentified_sp2_M_PL_118"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_118"	"Hemipyrellia_sp1_M_PL_118"	"Leptotes_pirithous"	"Ornidia_obesa"	"Lampides_boeticus"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_118"
"Cinnamomum_verum"	1.18123864391727	0.0397160454208239	0.0638910295900211	0.0230007706524076	0	0.0100960567856177	0.0153907869671918	0	0	0.523906442638173	0.00777053062581337	0.00431696145878521	0	0.0269228180949805	0.00511128236720169	0.00345356916702817	0.0270050520245689	0.00255564118360084	0.0437495794043434	0	0.0218747897021717	0
"Nephrosperma_vanhoutteanum"	0.0466231837548803	1.25593161604926	0.0204117301662065	0.00734822285983433	0	0.000398488750041711	0.00262009175310712	0	0	0.167376187362893	0.24572575096616	0.136514306092311	0	0.0010626366667779	0.00163293841329652	0.109211444873849	0.00173675620945941	0.000816469206648259	0.00172678458351408	0	0.000863392291757042	0
"Memecylon_eleagni"	0.172505779893057	0.0469469793822749	1.07552340161496	0.027188424581387	0	0.00147440837515433	0.00969433948649634	0	0	0.619291893242704	0.00918527857479291	0.00510293254155161	0	0.00393175566707822	0.00604187212919711	0.00408234603324129	0.00642599797499983	0.00302093606459856	0.00638910295900211	0	0.00319455147950105	0
"Chrysobalanus_icaco"	0.0690023119572228	0.0187787917529099	0.0302093606459856	1.21087536983255	0	0.000589763350061733	0.00387773579459853	0	0	0.247716757297082	0.00367411142991716	0.00204117301662065	0	0.00157270226683129	0.269083415518346	0.00163293841329652	0.00257039918999993	0.134541707759173	0.00255564118360084	0	0.00127782059180042	0
"Roscheria_melanochaetes"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0.0908645110705593	0.00305508041698645	0.00491469458384777	0.0017692900501852	0	1.23154585052197	0.00118390668978398	0	0	0.0403004955875518	0.000597733125062567	0.000332073958368093	0	0.617455601391921	0.000393175566707822	0.000265659166694474	0.00207731169419761	0.000196587783353911	0.00336535226187257	0	0.00168267613093628	0
"Nepenthes_pervillei"	0.138517082704726	0.0200873701071546	0.0323144649549878	0.0116332073837956	0	0.00118390668978398	1.12959730149289	0	0	0.2649786126309	0.00393013762966068	0.00218340979425593	0	0.00315708450609062	0.00258515719639902	0.00174672783540474	0.379097564992161	0.00129257859819951	0.00513026232239725	0	0.00256513116119863	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667
"Timonius_sechellensis"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Apis_mellifera"	0.345011559786114	0.0938939587645497	0.151046803229928	0.054376849162774	0	0.00294881675030866	0.0193886789729927	0	0	1.23858378648541	0.0183705571495858	0.0102058650831032	0	0.00786351133415644	0.0120837442583942	0.00816469206648258	0.0128519959499997	0.00604187212919711	0.0127782059180042	0	0.00638910295900211	0
