"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Canthium_bibracteatum"	"Alstonia_macrophylla"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_097"	"Unidentified_sp1_M_PL_097"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Hemipyrellia_sp1_M_PL_097"	"Neophyllomyza_approximatonervis"	"Rhynchium_brunneum"
"Phoenicophorium_borsigianum"	1.00847803764456	0.000935539012534838	0.000458697036924588	0.000208744363424406	1.99920435641863e-05	0	0.0180714745791201	0.0801256523060063	3.71933571861135e-05	4.52680167355567e-06	3.71916516425342e-06	0.00138321630025853	0	1.50893389118522e-06	0.00138147676389666	6.66401452139543e-07	6.66401452139543e-07
"Nephrosperma_vanhoutteanum"	0.00110152174056521	1.00535652850733	0.00269375707601101	0.000864624822256449	8.45779548453836e-05	0	0.0764528326499038	8.7518165688743e-05	0.0179458761643015	0.00486462836374516	2.18412735892784e-05	8.71414074332229e-06	0	0.00162154278791505	1.50893389118522e-06	2.81926516151279e-06	2.81926516151279e-06
"Erythroxylum_sechellarum"	0.000904996856634999	0.00451386320845088	1.00366831702409	0.000944352343358736	6.94806684756967e-05	0	0.0628058922574648	7.19038598422328e-05	0.0299503508846915	2.18412735892785e-05	0.00813785121911424	9.1093245827406e-06	0	7.28042452975949e-06	1.23972172141781e-06	2.31602228252322e-06	2.31602228252322e-06
"Memecylon_eleagni"	0.00126986154416514	0.00446722824832498	0.00291175305868944	1.00138694266981	6.52245800232001e-05	0	0.0589586720356381	0.000100893108988463	0.0335453876625083	2.16156205564112e-05	2.36088085839684e-05	0.00834663072527693	0	7.20520685213707e-06	1.73953636187005e-06	2.17415266744e-06	2.17415266744e-06
"Canthium_bibracteatum"	0.000486473060061866	0.00174794440013793	0.000856928244533592	0.000260898320092801	1.00674876607618	0	0.0337679484651785	3.86512842240935e-05	6.51847725541561e-05	8.45779548453836e-06	6.94806684756967e-06	2.84055411957955e-06	0	2.81926516151279e-06	6.66401452139543e-07	0.0335582922025395	0.0335582922025395
"Alstonia_macrophylla"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0	0	0
"Lasioglossum_mahense"	0.0144968971898436	0.0520887431241103	0.0255364616871011	0.00777476993876546	0.00111322907028061	0	1.00628486426232	0.00115180826987799	0.00194250622211385	0.000252042305439243	0.000207052392057576	8.46485127634705e-05	0	8.40141018130811e-05	1.98587632737584e-05	3.71076356760203e-05	3.71076356760203e-05
"Rhiparida_seychellensis"	0.100847803764456	9.35539012534839e-05	4.58697036924588e-05	2.08744363424406e-05	1.99920435641863e-06	0	0.00180714745791201	1.0080125652306	3.71933571861135e-06	4.52680167355567e-07	3.71916516425342e-07	0.000138321630025853	0	1.50893389118522e-07	0.000138147676389666	6.66401452139543e-08	6.66401452139543e-08
"Apis_mellifera"	0.000104427502868703	0.0427940123917958	0.042621653182061	0.0154824866134654	7.52131991009494e-06	0	0.00679877177739848	8.29697967997917e-06	1.0025424617238	0.000207067801895786	0.000345580971746441	0.000129163773152671	0	6.90226006319288e-05	1.43051373792744e-07	2.50710663669831e-07	2.50710663669831e-07
"Phelsuma_sp1_M_PL_097"	0.000110152174056521	0.100535652850733	0.000269375707601101	8.64624822256449e-05	8.45779548453836e-06	0	0.00764528326499038	8.7518165688743e-06	0.00179458761643015	1.00048646283637	2.18412735892784e-06	8.71414074332229e-07	0	0.000162154278791505	1.50893389118522e-07	2.81926516151279e-07	2.81926516151279e-07
"Unidentified_sp1_M_PL_097"	9.04996856634999e-05	0.000451386320845088	0.100366831702409	9.44352343358736e-05	6.94806684756967e-06	0	0.00628058922574648	7.19038598422328e-06	0.00299503508846915	2.18412735892785e-06	1.00081378512191	9.1093245827406e-07	0	7.28042452975948e-07	1.23972172141781e-07	2.31602228252322e-07	2.31602228252322e-07
"Cratopus_aurostriatus"	0.0504873949594364	0.000270138363042991	0.000168522504780701	0.0500797843516616	4.26083117936932e-06	0	0.00385150733073791	0.00401132727074974	0.00167912905098472	1.30712111149834e-06	1.36639868741109e-06	1.00048649235128	0	4.35707037166115e-07	6.91608150129265e-05	1.42027705978977e-07	1.42027705978977e-07
"Eagris_sabadius"	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.01010101010101	0	0	0	0
"Hemipyrellia_germana"	0.000110152174056521	0.100535652850733	0.000269375707601101	8.64624822256448e-05	8.45779548453836e-06	0	0.00764528326499038	8.7518165688743e-06	0.00179458761643015	0.000486462836374516	2.18412735892784e-06	8.7141407433223e-07	0	1.00016215427879	1.50893389118522e-07	2.81926516151279e-07	2.81926516151279e-07
"Hemipyrellia_sp1_M_PL_097"	0.100847803764456	9.35539012534838e-05	4.58697036924588e-05	2.08744363424406e-05	1.99920435641863e-06	0	0.00180714745791201	0.00801256523060063	3.71933571861135e-06	4.52680167355567e-07	3.71916516425342e-07	0.000138321630025853	0	1.50893389118522e-07	1.00013814767639	6.66401452139543e-08	6.66401452139543e-08
"Neophyllomyza_approximatonervis"	4.86473060061866e-05	0.000174794440013793	8.56928244533592e-05	2.60898320092801e-05	0.100674876607618	0	0.00337679484651785	3.86512842240935e-06	6.51847725541561e-06	8.45779548453836e-07	6.94806684756967e-07	2.84055411957955e-07	0	2.81926516151279e-07	6.66401452139543e-08	1.00335582922025	0.00335582922025395
"Rhynchium_brunneum"	4.86473060061866e-05	0.000174794440013793	8.56928244533592e-05	2.608983200928e-05	0.100674876607618	0	0.00337679484651785	3.86512842240935e-06	6.51847725541561e-06	8.45779548453836e-07	6.94806684756967e-07	2.84055411957955e-07	0	2.81926516151279e-07	6.66401452139543e-08	0.00335582922025394	1.00335582922025
