"Nephrosperma_vanhoutteanum"	"Northea_hornei"	"Dillenia_ferruginea"	"Craterispermum_microdon"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Paragenipa_wrightii"	"Diospyros_seychellarum"	"Memecylon_eleagni"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_107"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Tricimba_seychellensis"	"Phelsuma_sp1_M_PL_107"	"Unidentified_sp3_M_PL_107"	"Lygistorrhina_sp1_M_PL_107"	"Hemipyrellia_sp1_M_PL_107"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_107"	"Dichaetomyia_fasciculifera"	"Melanostoma_annulipes"	"Unidentified_sp2_M_PL_107"	"Unidentified_sp4_M_PL_107"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.0402777777777778	0.0416666666666667	0	0	0	0.00138888888888889	0.00833333333333333	0.00555555555555556	0	0.00277777777777778	0	0	0	0	0	0	0	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0	0	0	0.0575757575757576	0	0.00909090909090909	0.00303030303030303	0	0.00606060606060606	0	0	0.00606060606060606	0	0	0	0.00606060606060606	0.00606060606060606	0.00303030303030303	0.00303030303030303	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.044	0.024	0	0.008	0	0.012	0	0	0	0	0	0.008	0	0	0	0	0.004	0
"Craterispermum_microdon"	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0388888888888889	0	0	0.0444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0.00555555555555556	0.0722222222222222	0	0	0.00555555555555556	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.0294117647058824	0.0647058823529412	0	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diospyros_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0.00625	0.04375	0	0.01875	0	0	0	0.00625	0	0.00625	0.01875	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0.0545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0
