"Xysmalobium_gerrardii"	"Sisyranthus_trichostomus"	"Pachycarpus_natalensis"	"Asclepias_woodii"	"Miraglossum_verticillare"	"Xysmalobium_involucratum"	"Aspidonepsis_diploglossa"	"Miraglossum_pilosum"	"Asclepias_cucullata"	"Aspilocoryphus_fasciativentris"	"Hemipepsis_hilaris"	"Atrichelaphinis_tigrina"	"Sarcophaga_sp1_M_PL_013"	"Cyrtothyrea_marginalis"	"Diptera_sp3_M_PL_013"	"Unidentified_sp15_M_PL_013"	"Unidentified_sp20_M_PL_013"	"Unidentified_sp6_M_PL_013"	"Unidentified_sp19_M_PL_013"	"Unidentified_sp25_M_PL_013"	"Unidentified_sp4_M_PL_013"	"Apis_mellifera"	"Musca_domestica"	"Unidentified_sp13_M_PL_013"	"Unidentified_sp33_M_PL_013"	"Unidentified_sp9_M_PL_013"	"Unidentified_sp11_M_PL_013"	"Unidentified_sp12_M_PL_013"	"Unidentified_sp28_M_PL_013"	"Unidentified_sp10_M_PL_013"	"Unidentified_sp16_M_PL_013"	"Unidentified_sp17_M_PL_013"	"Unidentified_sp2_M_PL_013"	"Unidentified_sp30_M_PL_013"	"Unidentified_sp38_M_PL_013"	"Unidentified_sp5_M_PL_013"	"Unidentified_sp7_M_PL_013"	"Unidentified_sp8_M_PL_013"	"Actea_sp1_M_PL_013"	"Arge_sp1_M_PL_013"	"Dacus_sp1_M_PL_013"	"Diptera_sp1_M_PL_013"	"Diptera_sp2_M_PL_013"	"Homoecerus_annulatus"	"Microphthalma_sp1_M_PL_013"	"Microphthalma_sp2_M_PL_013"	"Spilostethus_rivularis"	"Tiphia_sp1_M_PL_013"	"Unidentified_sp1_M_PL_013"	"Unidentified_sp14_M_PL_013"	"Unidentified_sp18_M_PL_013"	"Unidentified_sp21_M_PL_013"	"Unidentified_sp22_M_PL_013"	"Unidentified_sp23_M_PL_013"	"Unidentified_sp24_M_PL_013"	"Unidentified_sp26_M_PL_013"	"Unidentified_sp27_M_PL_013"	"Unidentified_sp29_M_PL_013"	"Unidentified_sp3_M_PL_013"	"Unidentified_sp31_M_PL_013"	"Unidentified_sp32_M_PL_013"	"Unidentified_sp34_M_PL_013"	"Unidentified_sp35_M_PL_013"	"Unidentified_sp36_M_PL_013"	"Unidentified_sp37_M_PL_013"
"Xysmalobium_gerrardii"	0	0	0	0	0	0	0	0	0	0.380243161094225	0.112158054711246	0.0410334346504559	0.144984802431611	0.0164133738601824	0.0410334346504559	0.0109422492401216	0.0218844984802432	0	0.0109422492401216	0.0164133738601824	0.00273556231003039	0.00820668693009119	0.00820668693009119	0.00820668693009119	0.00820668693009119	0	0.00273556231003039	0.00820668693009119	0	0	0	0.00547112462006079	0	0.00273556231003039	0	0.00273556231003039	0.00547112462006079	0.00547112462006079	0.00273556231003039	0	0	0	0	0	0	0.00273556231003039	0	0	0.00273556231003039	0.00273556231003039	0	0.00273556231003039	0.00273556231003039	0.00273556231003039	0.00273556231003039	0.00273556231003039	0	0.00273556231003039	0	0.00273556231003039	0.00273556231003039	0	0	0.00273556231003039	0
"Sisyranthus_trichostomus"	0	0	0	0	0	0	0	0	0	0.00918367346938775	0.0183673469387755	0.321428571428571	0	0.385714285714286	0	0.0918367346938776	0	0	0	0.0183673469387755	0	0.00918367346938775	0	0	0	0	0.00918367346938775	0	0	0	0	0	0	0	0	0	0	0	0	0.00918367346938775	0	0.00918367346938775	0	0	0	0	0	0	0	0	0.00918367346938775	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00918367346938775
"Pachycarpus_natalensis"	0	0	0	0	0	0	0	0	0	0.0679245283018868	0.339622641509434	0	0.186792452830189	0	0.0169811320754717	0	0.0169811320754717	0.152830188679245	0	0	0	0	0	0	0	0	0	0	0.0169811320754717	0.0169811320754717	0	0	0	0	0	0	0	0	0	0	0.0169811320754717	0	0.0169811320754717	0.0169811320754717	0.0169811320754717	0	0.0169811320754717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asclepias_woodii"	0	0	0	0	0	0	0	0	0	0	0	0.45	0.03	0.24	0.03	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Miraglossum_verticillare"	0	0	0	0	0	0	0	0	0	0.03	0.54	0.03	0.18	0.03	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0
"Xysmalobium_involucratum"	0	0	0	0	0	0	0	0	0	0.0310344827586207	0.0310344827586207	0.186206896551724	0.0310344827586207	0	0	0.0310344827586207	0.0620689655172414	0	0.124137931034483	0	0.0931034482758621	0	0	0.0310344827586207	0.0310344827586207	0.124137931034483	0.0310344827586207	0	0	0.0310344827586207	0	0	0	0	0	0.0310344827586207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310344827586207	0	0	0
"Aspidonepsis_diploglossa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0.09	0.09	0.18	0	0	0	0	0	0	0	0	0	0.18	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0
"Miraglossum_pilosum"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asclepias_cucullata"	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0
"Aspilocoryphus_fasciativentris"	0.851020408163265	0.00612244897959184	0.0244897959183673	0	0.00612244897959184	0.00612244897959184	0	0	0.00612244897959184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
