"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Gastonia_crassa"	"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Campnosperma_seychellarum"	"Glionnetia_sericea"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp5_M_PL_106"	"Pachycerina_seychellensis"	"Ceratina_tabescens"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_106"	"Scaptodrosophila_sp1_M_PL_106"	"Agrius_convolvuli"	"Lygistorrhina_sp1_M_PL_106"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_106"	"Unidentified_sp6_M_PL_106"	"Forcipomyia_sp1_M_PL_106"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_106"	"Unidentified_sp4_M_PL_106"	"Hemipyrellia_sp1_M_PL_106"	"Megachile_seychellensis"	"Melanostoma_annulipes"	"Perissoma_aenescens"	"Simosyrphus_aegyptius"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0.31304347826087	0.352173913043478	0	0.0684782608695652	0	0	0.058695652173913	0.0391304347826087	0.0195652173913043	0	0.0391304347826087	0	0	0	0	0	0	0	0	0	0	0	0.00978260869565217	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0.523255813953488	0.209302325581395	0.167441860465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636363636364	0.190909090909091	0	0	0.0818181818181818	0.136363636363636	0	0	0	0	0.0818181818181818	0.0818181818181818	0.0272727272727273	0	0.0545454545454545	0.0545454545454545	0	0	0	0.0272727272727273	0	0
"Gastonia_crassa"	0	0	0	0	0	0	0	0	0	0	0.578571428571429	0	0.321428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0.665217391304348	0	0.0391304347826087	0.0391304347826087	0	0	0	0	0	0	0	0	0	0.117391304347826	0	0	0	0.0391304347826087	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0.45	0.163636363636364	0	0.0818181818181818	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0	0	0	0.0409090909090909	0	0	0	0.0409090909090909
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0.654545454545455	0.245454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campnosperma_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0.1125	0	0	0	0	0.3375	0	0	0	0.1125	0	0	0	0.1125	0	0	0	0.1125	0
"Glionnetia_sericea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
