"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Chrysobalanus_icaco"	"Nepenthes_pervillei"	"Roscheria_melanochaetes"	"Cinnamomum_verum"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_126"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_126"	"Unidentified_sp2_M_PL_126"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_126"	"Unidentified_sp4_M_PL_126"	"Chalcidoma_disjunctum"	"Hemipyrellia_sp1_M_PL_126"	"Neavella_albipectus"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp5_M_PL_126"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0.207692307692308	0.153846153846154	0.107692307692308	0	0.00769230769230769	0.0230769230769231	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0.4375	0.0416666666666667	0	0	0	0	0	0	0	0.0208333333333333	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0
"Nepenthes_pervillei"	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0.0555555555555556	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0.111111111111111	0.111111111111111	0	0	0.0555555555555556	0	0	0	0.0555555555555556
"Cinnamomum_verum"	0	0	0	0	0	0	0	0	0	0.4375	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.285714285714286	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.1875	0.145833333333333	0	0.0555555555555556	0.0416666666666667	0	0.0486111111111111	0	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.434782608695652	0.0434782608695652	0	0	0	0	0	0.0217391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_126"	0.333333333333333	0	0	0	0	0.0714285714285714	0	0.0952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_126"	0.166666666666667	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_126"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_126"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_126"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_126"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neavella_albipectus"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_126"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
