File	N.modules	Modularity	P.Null1	P.Null2
M_10_littlecolorado_GC1.txt	4	0.397600	0.000000	0.000000
M_11_lakemichigan_GC1.txt	7	0.562434	0.000000	0.000000
M_12_lakesuperior_GC1.txt	6	0.552419	0.000000	0.000000
M_13_guandu_GC1.txt	9	0.636199	0.000000	0.000000
M_14_lebsko_GC1.txt	4	0.416896	0.000000	0.000000
M_15_zarivar_GC1.txt	5	0.426036	0.000000	0.000000
M_16_stmary_GC1.txt	10	0.521097	0.000000	0.000000
M_17_lakehuron_GC1.txt	8	0.473510	0.000000	0.000000
M_18_lakestclair_GC1.txt	3	0.474435	0.000000	0.000000
M_19_lakeerie_GC1.txt	9	0.439319	0.000000	0.000000
M_1_medioparana_GC1.txt	7	0.605294	0.000000	0.000000
M_20_lakeontario_GC1.txt	10	0.563958	0.000000	0.000000
M_21_devilslake_GC1.txt	4	0.519251	0.000000	0.000000
M_22_bengal_GC1.txt	6	0.640095	0.000000	0.000000
M_23_hidvegi_GC1.txt	7	0.576560	0.000000	0.000000
M_24_riga_GC1.txt	6	0.406036	0.000000	0.000000
M_25_aluksnes_GC1.txt	5	0.302841	0.000000	0.000000
M_26_raznas_GC1.txt	5	0.318334	0.000000	0.000000
M_27_trespalos_GC1.txt	5	0.282656	0.000000	0.000000
M_28_mekong_GC1.txt	9	0.623228	0.000000	0.000000
M_29_tonkin_GC1.txt	9	0.577915	0.000000	0.000000
M_2_planicieparana_GC1.txt	14	0.695362	0.000000	0.000000
M_30_coyuca_GC1.txt	5	0.274223	0.000000	0.000000
M_3_smallwood_GC1.txt	4	0.286044	0.000000	0.000000
M_4_parsnip_GC1.txt	4	0.425773	0.000000	0.000000
M_5_mcgregor_GC1.txt	6	0.447753	0.000000	0.000000
M_6_woods_GC1.txt	7	0.474582	0.000000	0.000000
M_7_coldlake_GC1.txt	5	0.441251	0.000000	0.000000
M_8_aishihik_GC1.txt	4	0.281394	0.000000	0.000000
M_9_coastalrj_GC1.txt	11	0.606865	0.000000	0.000000
M_abe_GC1.txt	2	0.309917	0.000000	0.000000
M_A_HP_001_GC1.txt	5	0.314432	0.000000	0.000000
M_A_HP_002_GC1.txt	5	0.304155	0.000000	0.000000
M_A_HP_003_GC1.txt	4	0.172504	0.000000	0.000000
M_A_HP_004_GC1.txt	3	0.267589	0.000000	0.000000
M_A_HP_005_GC1.txt	4	0.166859	0.000000	0.000000
M_A_HP_006_GC1.txt	5	0.357195	0.000000	0.000000
M_A_HP_007_GC1.txt	4	0.374256	0.000000	0.000000
M_A_HP_008_GC1.txt	6	0.416896	0.000000	0.000000
M_A_HP_009_GC1.txt	5	0.243164	0.000000	0.000000
M_A_HP_010_GC1.txt	4	0.500387	0.000000	0.000000
M_A_HP_011_GC1.txt	4	0.232558	0.000000	0.000000
