"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	4.68745123194316	0.547736830276976	0.0279698325167097	2.32240214112075	1.18013464134312	0.68358663799171	0.242644394954486	0.156248374398105	0.0932327750556991	0.0585931403992895
"Clethrionomys_rufocanus"	3.47973986293609	1.73377987622024	0.0496381555805196	2.14561084884115	1.2273842850057	0.507462063344846	0.531436312418486	0.115991328764536	0.165460518601732	0.0434967482867011
"Microtus_oeconomus"	3.02074191180465	0.843848644868833	1.39856733806336	1.65255274971194	0.890452205635865	0.440524862138178	0.286303823274935	0.100691397060155	1.32855779354453	0.0377592738975581
"Megabothris_advenarius"	4.11179395477117	0.59795712180819	0.0270910286838022	3.07451155031507	1.06630393254943	0.599636618404128	0.243945141595195	0.137059798492372	0.0903034289460075	0.0513974244346396
"Amalaraeus_penicilliger"	4.0461759131764	0.662397868098316	0.0282683239884402	2.06490602811159	2.06887112630346	0.590067320671559	0.25963594366818	0.134872530439213	0.0942277466281338	0.050577198914705
"Stenoponia_montana"	4.21870610874884	0.492963147249279	0.0251728492650387	2.09016192700868	1.06212117720881	1.61522797419254	0.218379955459037	0.140623536958295	0.0839094975501292	0.0527338263593605
"Catallagia_dacenkoi"	3.4940792873446	1.20458897481524	0.0381738431033246	1.98408715164092	1.09047096340636	0.509553229404421	1.39165510593744	0.116469309578153	0.127246143677749	0.0436759910918075
"Hystrichopsylla_microti"	4.21870610874884	0.492963147249279	0.0251728492650388	2.09016192700868	1.06212117720881	0.615227974192539	0.218379955459037	1.14062353695829	0.0839094975501292	0.0527338263593605
"Amphipsylla_marikovskii"	3.35637990200517	0.937609605409814	0.442852597848176	1.83616972190215	0.989391339595406	0.48947206904242	0.318115359194372	0.111879330066839	1.47617532616059	0.0419547487750646
"Rhadinopsylla_integella"	4.21870610874884	0.492963147249279	0.0251728492650387	2.09016192700868	1.06212117720881	0.615227974192539	0.218379955459037	0.140623536958295	0.0839094975501292	1.05273382635936
